DATE,Config,Blade,RUN,POL,PNT,Time,Qinf,AIRDENSITY,WINDSPEED,YAWANGLE,PITCHANGLE,Tinf,N_Rotor,Lambda,X-Trav,Y-Trav,Pinf,Ptinf
20140701,0,3,52,78,929,14343431,60.1,1.20443,9.99,8.01,-2.3,293.3,425.1,10.03,-4.6,1.6,101919,101979
20140701,0,3,52,78,930,14360172,136.4,1.2049,15.05,8.01,-2.3,293.2,425.1,6.657,-4.6,1.6,101914,102050
20140701,0,3,52,78,931,14372616,193.6,1.20454,17.93,8.01,-2.3,293.3,425.1,5.586,-4.6,1.6,101909,102103
20140701,0,3,52,78,932,14390488,350.2,1.20333,24.13,8.01,-2.3,293.6,425.1,4.151,-4.6,1.6,101904,102254
20140701,0,3,52,79,933,14411907,59.3,1.20301,9.93,15.01,-2.3,293.7,425.1,10.084,-4.6,1.6,101917,101976
20140701,0,3,52,79,934,14431031,133.6,1.20414,14.9,15.01,-2.3,293.4,425.1,6.724,-4.6,1.6,101909,102043
20140701,0,3,52,80,935,14473374,60.7,1.20395,10.04,15.01,-2.3,293.4,425.1,9.977,-4.6,1.6,101909,101969
20140701,0,3,52,80,936,14491152,135.7,1.20452,15.01,15.01,-2.3,293.3,425.1,6.674,-4.6,1.6,101912,102047
20140701,0,3,52,80,937,14511028,195.2,1.20447,18,15.01,-2.3,293.3,425.1,5.563,-4.6,1.6,101909,102104
20140701,0,3,52,80,938,14522825,346.8,1.20449,24,15.01,-2.3,293.3,425.1,4.174,-4.6,1.6,101902,102250
20140701,0,3,52,81,939,14550289,59.9,1.20395,9.98,30.01,-2.3,293.4,425.1,10.038,-4.6,1.6,101912,101972
20140701,0,3,52,81,940,14560605,135.7,1.2049,15.01,30.01,-2.3,293.2,425.1,6.673,-4.6,1.6,101911,102047
20140701,0,3,52,81,941,14571826,196.7,1.20523,18.07,30.01,-2.3,293.1,425.1,5.543,-4.6,1.6,101908,102105
20140701,0,3,52,81,942,14582734,347.7,1.20507,24.02,30.01,-2.3,293.1,425.1,4.17,-4.6,1.6,101901,102249
20140701,0,3,52,82,943,14595864,61.2,1.20352,10.08,30.01,0.7,293.5,425.1,9.936,-4.6,1.6,101912,101973
20140701,0,3,52,82,944,15010640,137.1,1.20449,15.09,30.01,0.7,293.3,425.1,6.638,-4.6,1.6,101907,102044
20140701,0,3,52,82,945,15022054,197.2,1.20503,18.09,30.01,0.7,293.2,425.1,5.537,-4.6,1.6,101904,102101
20140701,0,3,52,82,946,15063348,197,1.20483,18.09,30.01,0.7,293.2,425.1,5.538,-4.6,1.6,101905,102102
20140701,0,3,52,82,947,15081397,347.7,1.20473,24.02,30.01,0.7,293.2,425.1,4.169,-4.6,1.6,101902,102250
20140701,0,3,52,83,948,15112913,60,1.20453,9.98,45.01,-2.3,293.3,425.1,10.031,-4.6,1.6,101920,101980
20140701,0,3,52,83,949,15124287,137.6,1.20539,15.11,45.01,-2.3,293.1,425.1,6.628,-4.6,1.6,101917,102054
20140701,0,3,52,83,950,15134719,197.8,1.20553,18.11,45.01,-2.3,293.1,425.1,5.53,-4.6,1.6,101913,102111
20140701,0,3,52,83,951,15151215,348.2,1.20501,24.04,45.01,-2.3,293.2,425.1,4.167,-4.6,1.6,101904,102253
20140701,0,3,52,83,952,15213786,348.1,1.20248,24.06,45.01,-2.3,293.8,425.1,4.163,-4.6,1.6,101907,102256
20140701,0,3,52,84,953,15311219,60,1.20596,9.97,-30,-2.3,293,425.1,10.042,-4.6,1.6,101916,101976
20140701,0,3,52,84,954,15322377,135.8,1.20624,15,-30,-2.3,292.9,425.1,6.676,-4.6,1.6,101911,102047
20140701,0,3,52,84,955,15333660,196.9,1.20612,18.07,-30,-2.3,292.9,425.1,5.544,-4.6,1.6,101914,102111
20140701,0,3,52,84,956,15350400,348.5,1.2056,24.04,-30,-2.3,293,425.1,4.166,-4.6,1.6,101904,102253
20140701,0,3,52,84,957,15385461,347.8,1.20311,24.04,-30,-2.3,293.6,425.1,4.166,-4.6,1.6,101898,102246
20140701,0,3,53,86,966,16020237,400.7,1.19932,25.85,0.01,-2.3,294.5,425.1,3.875,-4.6,1.6,101901,102302
20140627,0,3,,,1000,,,1.197,10.05,0,-2.3,293.63,425.1,,,,101398,
20140627,0,3,,,1001,,,1.191,15.06,0,-2.3,294.91,425.1,,,,101345,
20140630,0,3,,,1002,,,1.195,24.05,0,-2.3,294.25,425.1,,,,101407,
