             time[s]        azimuth[deg]        nrOfCalls[-]          u_hub[m/s]          v_hub[m/s]          w_hub[m/s]      v_tot_hub[m/s]      v_tot_ave[m/s]   AeroTorque_B1[Nm]   AeroTorque_B2[Nm]   AeroTorque_B3[Nm]       AxForce_B1[N]       AxForce_B2[N]       AxForce_B3[N]   AeroMoment_B1[Nm]   AeroMoment_B2[Nm]   AeroMoment_B3[Nm]
              0.0000              0.0000                   1              5.7773              0.0000              0.0000              5.7773              5.7773        -336928.4419        -340053.8896        -340431.7659         138183.4756         138106.7495         138035.0827       10232948.7714       10232176.7575       10224971.8880
              0.0739              4.8305                   1              5.7773              0.0000              0.0000              5.7773              5.7773        -337089.6470        -339806.3405        -340505.1432         138157.5760         138121.9714         138045.8219       10230683.9101       10233116.6703       10226301.4418
              0.1478              9.6609                   1              5.7773              0.0000              0.0000              5.7773              5.7773        -337245.7867        -339564.6004        -340574.3004         138134.7392         138136.5389         138054.1351       10228729.7316       10234011.9674       10227363.8195
              0.2217             14.4914                   1              5.7773              0.0000              0.0000              5.7773              5.7773        -337403.6618        -339316.3788        -340645.6822         138113.6573         138151.2235         138060.5668       10226965.2441       10234918.2174       10228224.8276
              0.2956             19.3218                   1              5.7773              0.0000              0.0000              5.7773              5.7773        -337565.1836        -339061.4103        -340717.1912         138093.9422         138166.1253         138065.4154       10225352.3031       10235840.8625       10228917.6380
              0.3695             24.1523                   1              5.7773              0.0000              0.0000              5.7773              5.7773        -337730.3003        -338836.0756        -340787.0361         138075.5613         138181.0385         138068.8724       10223884.8059       10236764.1935       10229461.7322
              0.4434             28.9828                   1              5.7773              0.0000              0.0000              5.7773              5.7773        -337898.1206        -338599.2782        -340853.6667         138058.6142         138195.7788         138071.0946       10222568.5060       10237671.4962       10229871.6731
              0.5173             33.8132                   1              5.7773              0.0000              0.0000              5.7773              5.7773        -338045.0667        -338364.6864        -340915.6626         138043.2385         138210.0107         138072.2301       10221412.7917       10238538.0804       10230160.5427
              0.5912             38.6437                   1              5.7773              0.0000              0.0000              5.7773              5.7773        -338217.7544        -338139.0598        -340971.6507         138029.5825         138223.4416         138072.4331       10220428.1942       10239340.8548       10230341.5834
              0.6651             43.4742                   1              5.7773              0.0000              0.0000              5.7773              5.7773        -338389.2461        -337931.3244        -341020.2292         138017.7721         138235.8222         138071.8719       10219623.3260       10240057.0955       10230429.0547
