             Time[s]        Azimuth[deg]         Power[Watt]      Axial_Force[N]
              0.0000              0.0000      0.73444911E+06      0.45004985E+06
              0.0739              3.7263      0.73445509E+06      0.45005027E+06
              0.1478              7.4526      0.73446128E+06      0.45005058E+06
              0.2217             11.1788      0.73446770E+06      0.45005082E+06
              0.2956             14.9051      0.73447424E+06      0.45005098E+06
              0.3695             18.6314      0.73451183E+06      0.45005107E+06
              0.4434             22.3577      0.73451631E+06      0.45005110E+06
              0.5173             26.0840      0.73452028E+06      0.45005107E+06
              0.5912             29.8103      0.73452328E+06      0.45005108E+06
              0.6651             33.5365      0.73454114E+06      0.45005082E+06
              0.7390             37.2628      0.73453899E+06      0.45005062E+06
              0.8128             40.9891      0.73453829E+06      0.45005036E+06
              0.8867             44.7154      0.73454394E+06      0.45005026E+06
              0.9606             48.4417      0.73453348E+06      0.45005017E+06
              1.0345             52.1680      0.73454877E+06      0.45004998E+06
              1.1084             55.8942      0.73456510E+06      0.45004973E+06
              1.1823             59.6205      0.73441305E+06      0.45007857E+06
              1.2562             63.3468      0.73441668E+06      0.45007853E+06
              1.3301             67.0731      0.73450288E+06      0.45007846E+06
              1.4040             70.7994      0.73449970E+06      0.45007839E+06
              1.4779             74.5257      0.73449402E+06      0.45007827E+06
              1.5518             78.2519      0.73450143E+06      0.45007810E+06
              1.6257             81.9782      0.73450331E+06      0.45007793E+06
              1.6996             85.7045      0.73450802E+06      0.45007775E+06
              1.7735             89.4308      0.73452066E+06      0.45007756E+06
              1.8474             93.1571      0.73445916E+06      0.45005098E+06
              1.9213             96.8834      0.73445867E+06      0.45005098E+06
              1.9952            100.6096      0.73443637E+06      0.45005103E+06
              2.0691            104.3359      0.73443893E+06      0.45005105E+06
              2.1430            108.0622      0.73444170E+06      0.45005105E+06
              2.2169            111.7885      0.73444550E+06      0.45005133E+06
              2.2907            115.5148      0.73444998E+06      0.45005162E+06
              2.3646            119.2411      0.73445518E+06      0.45005188E+06
              2.4385            122.9673      0.73446084E+06      0.45005212E+06
              2.5124            126.6936      0.73446677E+06      0.45005230E+06
              2.5863            130.4199      0.73447301E+06      0.45005244E+06
              2.6602            134.1462      0.73447942E+06      0.45005254E+06
              2.7341            137.8725      0.73451734E+06      0.45005258E+06
              2.8080            141.5988      0.73452162E+06      0.45005257E+06
              2.8819            145.3250      0.73452601E+06      0.45005251E+06
              2.9558            149.0513      0.73452821E+06      0.45005234E+06
              3.0297            152.7776      0.73454491E+06      0.45005222E+06
              3.1036            156.5039      0.73454672E+06      0.45005196E+06
              3.1775            160.2302      0.73454566E+06      0.45005167E+06
              3.2514            163.9565      0.73455241E+06      0.45005148E+06
              3.3253            167.6827      0.73454270E+06      0.45005137E+06
              3.3992            171.4090      0.73453910E+06      0.45005118E+06
              3.4731            175.1353      0.73455911E+06      0.45005095E+06
              3.5470            178.8616      0.73450188E+06      0.45007973E+06
              3.6209            182.5879      0.73442314E+06      0.45007957E+06
              3.6948            186.3142      0.73450895E+06      0.45007946E+06
              3.7686            190.0404      0.73449507E+06      0.45007936E+06
              3.8425            193.7667      0.73449869E+06      0.45007921E+06
              3.9164            197.4930      0.73450561E+06      0.45007900E+06
              3.9903            201.2193      0.73450662E+06      0.45007880E+06
              4.0642            204.9456      0.73450729E+06      0.45007862E+06
              4.1381            208.6718      0.73451813E+06      0.45007829E+06
              4.2120            212.3981      0.73450373E+06      0.45007803E+06
              4.2859            216.1244      0.73446178E+06      0.45005159E+06
              4.3598            219.8507      0.73442838E+06      0.45005157E+06
              4.4337            223.5770      0.73444069E+06      0.45005156E+06
              4.5076            227.3033      0.73444327E+06      0.45005152E+06
              4.5815            231.0295      0.73444703E+06      0.45005168E+06
              4.6554            234.7558      0.73445163E+06      0.45005192E+06
              4.7293            238.4821      0.73445664E+06      0.45005214E+06
              4.8032            242.2084      0.73446216E+06      0.45005233E+06
              4.8771            245.9347      0.73446784E+06      0.45005248E+06
              4.9510            249.6610      0.73447377E+06      0.45005259E+06
              5.0249            253.3872      0.73447972E+06      0.45005265E+06
              5.0988            257.1135      0.73451779E+06      0.45005265E+06
              5.1727            260.8398      0.73452141E+06      0.45005261E+06
              5.2466            264.5661      0.73452585E+06      0.45005252E+06
              5.3204            268.2924      0.73452814E+06      0.45005237E+06
              5.3943            272.0187      0.73454395E+06      0.45005219E+06
              5.4682            275.7449      0.73453792E+06      0.45005204E+06
              5.5421            279.4712      0.73454482E+06      0.45005159E+06
              5.6160            283.1975      0.73455234E+06      0.45005133E+06
              5.6899            286.9238      0.73454234E+06      0.45005121E+06
              5.7638            290.6501      0.73453772E+06      0.45005100E+06
              5.8377            294.3764      0.73455646E+06      0.45005073E+06
              5.9116            298.1026      0.73456042E+06      0.45005058E+06
              5.9855            301.8289      0.73442073E+06      0.45007929E+06
              6.0594            305.5552      0.73450650E+06      0.45007918E+06
              6.1333            309.2815      0.73449209E+06      0.45007906E+06
              6.2072            313.0078      0.73449629E+06      0.45007891E+06
              6.2811            316.7341      0.73450334E+06      0.45007868E+06
              6.3550            320.4603      0.73450426E+06      0.45007848E+06
              6.4289            324.1866      0.73451615E+06      0.45007814E+06
              6.5028            327.9129      0.73451430E+06      0.45007793E+06
              6.5767            331.6392      0.73450110E+06      0.45007766E+06
              6.6506            335.3655      0.73445996E+06      0.45005122E+06
              6.7245            339.0918      0.73445889E+06      0.45005118E+06
              6.7983            342.8180      0.73443834E+06      0.45005119E+06
              6.8722            346.5443      0.73444092E+06      0.45005116E+06
              6.9461            350.2706      0.73444428E+06      0.45005127E+06
              7.0200            353.9969      0.73444851E+06      0.45005152E+06
              7.0939            357.7232      0.73445344E+06      0.45005175E+06
              7.1678              1.4495      0.73445894E+06      0.45005194E+06
              7.2417              5.1757      0.73446461E+06      0.45005212E+06
              7.3156              8.9020      0.73447065E+06      0.45005224E+06
              7.3895             12.6283      0.73447665E+06      0.45005232E+06
              7.4634             16.3546      0.73451552E+06      0.45005235E+06
              7.5373             20.0809      0.73451919E+06      0.45005233E+06
              7.6112             23.8072      0.73452355E+06      0.45005226E+06
              7.6851             27.5334      0.73452630E+06      0.45005215E+06
              7.7590             31.2597      0.73454452E+06      0.45005199E+06
              7.8329             34.9860      0.73454083E+06      0.45005181E+06
              7.9068             38.7123      0.73454341E+06      0.45005145E+06
              7.9807             42.4386      0.73455184E+06      0.45005115E+06
              8.0546             46.1648      0.73454228E+06      0.45005105E+06
              8.1285             49.8911      0.73453712E+06      0.45005086E+06
              8.2024             53.6174      0.73455475E+06      0.45005059E+06
              8.2762             57.3437      0.73455850E+06      0.45005045E+06
              8.3501             61.0700      0.73441927E+06      0.45007916E+06
              8.4240             64.7963      0.73450556E+06      0.45007908E+06
              8.4979             68.5225      0.73449039E+06      0.45007897E+06
              8.5718             72.2488      0.73450475E+06      0.45007883E+06
              8.6457             75.9751      0.73450269E+06      0.45007862E+06
              8.7196             79.7014      0.73450359E+06      0.45007845E+06
              8.7935             83.4277      0.73451085E+06      0.45007818E+06
              8.8674             87.1540      0.73451297E+06      0.45007795E+06
              8.9413             90.8802      0.73450057E+06      0.45007765E+06
              9.0152             94.6065      0.73445975E+06      0.45005118E+06
              9.0891             98.3328      0.73445915E+06      0.45005116E+06
              9.1630            102.0591      0.73443767E+06      0.45005118E+06
              9.2369            105.7854      0.73444025E+06      0.45005115E+06
              9.3108            109.5117      0.73444340E+06      0.45005120E+06
              9.3847            113.2379      0.73444760E+06      0.45005147E+06
              9.4586            116.9642      0.73445238E+06      0.45005170E+06
              9.5325            120.6905      0.73445776E+06      0.45005192E+06
              9.6064            124.4168      0.73446346E+06      0.45005210E+06
              9.6803            128.1431      0.73446932E+06      0.45005224E+06
              9.7542            131.8694      0.73447530E+06      0.45005233E+06
              9.8280            135.5956      0.73451499E+06      0.45005237E+06
              9.9019            139.3219      0.73451825E+06      0.45005237E+06
              9.9758            143.0482      0.73452261E+06      0.45005231E+06
             10.0497            146.7745      0.73452584E+06      0.45005221E+06
             10.1236            150.5008      0.73454980E+06      0.45005210E+06
             10.1975            154.2271      0.73454441E+06      0.45005185E+06
             10.2714            157.9533      0.73454382E+06      0.45005154E+06
             10.3453            161.6796      0.73454391E+06      0.45005122E+06
             10.4192            165.4059      0.73454919E+06      0.45005106E+06
             10.4931            169.1322      0.73453826E+06      0.45005093E+06
             10.5670            172.8585      0.73455449E+06      0.45005069E+06
