-----------------------
  t/c    Airfoil       
-----------------------
 1.000   airfoil_1                       
 0.941   airfoil_2                       
 0.764   airfoil_3                       
 0.577   airfoil_4                       
 0.464   airfoil_5                       
 0.411   airfoil_6                       
 0.367   airfoil_7                       
 0.316   airfoil_8                       
 0.288   airfoil_9                       
 0.247   airfoil_10                      
 0.242   airfoil_11                      
 0.240   airfoil_12                      
 0.240   airfoil_13                      
 0.240   airfoil_14                      
 0.240   airfoil_15                      
-----------------------
 
 
airfoil_1                       Re:  1.00E+06
-----------------------------------
  alfa      cl       cd       cm   
-----------------------------------
-180.00   0.0000   0.6000   0.0000
-177.50   0.0000   0.6000   0.0066
-175.00   0.0000   0.6000   0.0131
-172.50   0.0000   0.6000   0.0196
-170.00   0.0000   0.6000   0.0260
-167.50   0.0000   0.6000   0.0324
-165.00   0.0000   0.6000   0.0388
-162.50   0.0000   0.6000   0.0451
-160.00   0.0000   0.6000   0.0513
-157.50   0.0000   0.6000   0.0574
-155.00   0.0000   0.6000   0.0634
-152.50   0.0000   0.6000   0.0693
-150.00   0.0000   0.6000   0.0750
-147.50   0.0000   0.6000   0.0806
-145.00   0.0000   0.6000   0.0860
-142.50   0.0000   0.6000   0.0913
-140.00   0.0000   0.6000   0.0964
-137.50   0.0000   0.6000   0.1013
-135.00   0.0000   0.6000   0.1061
-132.50   0.0000   0.6000   0.1106
-130.00   0.0000   0.6000   0.1149
-127.50   0.0000   0.6000   0.1190
-125.00   0.0000   0.6000   0.1229
-122.50   0.0000   0.6000   0.1265
-120.00   0.0000   0.6000   0.1299
-117.50   0.0000   0.6000   0.1330
-115.00   0.0000   0.6000   0.1359
-112.50   0.0000   0.6000   0.1386
-110.00   0.0000   0.6000   0.1410
-107.50   0.0000   0.6000   0.1431
-105.00   0.0000   0.6000   0.1449
-102.50   0.0000   0.6000   0.1464
-100.00   0.0000   0.6000   0.1477
 -97.50   0.0000   0.6000   0.1487
 -95.00   0.0000   0.6000   0.1494
 -92.50   0.0000   0.6000   0.1498
 -90.00   0.0000   0.6000   0.1500
 -87.50   0.0000   0.6000   0.1498
 -85.00   0.0000   0.6000   0.1494
 -82.50   0.0000   0.6000   0.1487
 -80.00   0.0000   0.6000   0.1477
 -77.50   0.0000   0.6000   0.1464
 -75.00   0.0000   0.6000   0.1449
 -72.50   0.0000   0.6000   0.1431
 -70.00   0.0000   0.6000   0.1410
 -67.50   0.0000   0.6000   0.1386
 -65.00   0.0000   0.6000   0.1359
 -62.50   0.0000   0.6000   0.1330
 -60.00   0.0000   0.6000   0.1299
 -57.50   0.0000   0.6000   0.1265
 -55.00   0.0000   0.6000   0.1229
 -52.50   0.0000   0.6000   0.1190
 -50.00   0.0000   0.6000   0.1149
 -47.50   0.0000   0.6000   0.1106
 -45.00   0.0000   0.6000   0.1061
 -42.50   0.0000   0.6000   0.1013
 -40.00   0.0000   0.6000   0.0964
 -37.50   0.0000   0.6000   0.0913
 -35.00   0.0000   0.6000   0.0860
 -32.50   0.0000   0.6000   0.0806
 -30.00   0.0000   0.6000   0.0750
 -29.00   0.0000   0.6000   0.0727
 -28.00   0.0000   0.6000   0.0704
 -27.00   0.0000   0.6000   0.0681
 -26.00   0.0000   0.6000   0.0658
 -25.00   0.0000   0.6000   0.0634
 -24.00   0.0000   0.6000   0.0610
 -23.00   0.0000   0.6000   0.0586
 -22.00   0.0000   0.6000   0.0562
 -21.00   0.0000   0.6000   0.0538
 -20.00   0.0000   0.6000   0.0513
 -19.00   0.0000   0.6000   0.0489
 -18.00   0.0000   0.6000   0.0464
 -17.00   0.0000   0.6000   0.0439
 -16.00   0.0000   0.6000   0.0413
 -15.00   0.0000   0.6000   0.0388
 -14.50   0.0000   0.6000   0.0376
 -14.00   0.0000   0.6000   0.0363
 -13.50   0.0000   0.6000   0.0350
 -13.00   0.0000   0.6000   0.0338
 -12.50   0.0000   0.6000   0.0325
 -12.00   0.0000   0.6000   0.0312
 -11.50   0.0000   0.6000   0.0299
 -11.00   0.0000   0.6000   0.0286
 -10.50   0.0000   0.6000   0.0273
 -10.00   0.0000   0.6000   0.0260
  -9.50   0.0000   0.6000   0.0247
  -9.00   0.0000   0.6000   0.0234
  -8.50   0.0000   0.6000   0.0222
  -8.00   0.0000   0.6000   0.0209
  -7.50   0.0000   0.6000   0.0196
  -7.00   0.0000   0.6000   0.0183
  -6.50   0.0000   0.6000   0.0170
  -6.00   0.0000   0.6000   0.0157
  -5.50   0.0000   0.6000   0.0144
  -5.00   0.0000   0.6000   0.0131
  -4.50   0.0000   0.6000   0.0118
  -4.00   0.0000   0.6000   0.0105
  -3.50   0.0000   0.6000   0.0092
  -3.00   0.0000   0.6000   0.0078
  -2.50   0.0000   0.6000   0.0065
  -2.00   0.0000   0.6000   0.0052
  -1.50   0.0000   0.6000   0.0039
  -1.00   0.0000   0.6000   0.0026
  -0.50   0.0000   0.6000   0.0013
   0.00   0.0000   0.6000   0.0000
   0.50   0.0000   0.6000  -0.0013
   1.00   0.0000   0.6000  -0.0026
   1.50   0.0000   0.6000  -0.0039
