             time[s]        azimuth[deg]        nrOfCalls[-]          u_hub[m/s]          v_hub[m/s]          w_hub[m/s]      v_tot_hub[m/s]      v_tot_ave[m/s]   AeroTorque_B1[Nm]   AeroTorque_B2[Nm]   AeroTorque_B3[Nm]       AxForce_B1[N]       AxForce_B2[N]       AxForce_B3[N]   AeroMoment_B1[Nm]   AeroMoment_B2[Nm]   AeroMoment_B3[Nm]
              0.0000              0.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82577.7969          82608.7306          82577.7745          32680.7112          32680.7318          32680.7045         824398.1319         824398.4065         824397.5443
              0.1355             10.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82631.1462          82635.1541          82662.0406          32690.2325          32690.2575          32690.2384         824508.4983         824509.0577         824508.2741
              0.2710             20.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82628.2785          82628.5160          82656.4415          32688.4178          32688.4543          32688.4825         824492.0723         824493.1165         824493.6920
              0.4065             30.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82623.6249          82623.6740          82654.8035          32687.9884          32688.0132          32688.0472         824487.9807         824488.7275         824489.4764
              0.5420             40.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82654.7861          82623.9492          82628.0393          32688.0127          32688.0228          32688.0606         824487.9714         824488.2983         824489.2088
              0.6775             50.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82655.1597          82627.0465          82627.3490          32688.2037          32688.1530          32688.2004         824490.3322         824488.7871         824490.0980
              0.8130             60.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82655.3277          82624.1906          82624.2949          32688.3562          32688.3096          32688.3432         824491.2276         824489.7888         824490.7381
              0.9485             70.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82628.9367          82655.7162          82624.9215          32688.4906          32688.4533          32688.4703         824492.0098         824490.8167         824491.2965
              1.0840             80.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82628.1566          82655.9921          82627.9114          32688.5997          32688.6122          32688.5671         824492.6341         824492.9032         824491.4726
              1.2195             90.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82624.8811          82655.9358          82624.8228          32688.6702          32688.6913          32688.6490         824492.6520         824493.1690         824491.8158
              1.3550            100.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82625.2728          82629.3078          82656.1046          32688.7205          32688.7478          32688.7139         824492.5523         824493.2880         824492.1588
              1.4905            110.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82628.0515          82628.3172          82656.1624          32688.7474          32688.7862          32688.8015         824492.1344         824493.3144         824493.6312
              1.6260            120.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82624.7820          82624.8577          82655.9197          32688.7692          32688.7958          32688.8192         824491.9700         824492.8216         824493.3746
              1.7615            130.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82655.9109          82625.0949          82629.1360          32688.7835          32688.7949          32688.8240         824491.8892         824492.2957         824493.0587
              1.8970            140.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82655.8437          82627.7473          82628.0207          32688.8289          32688.7790          32688.8194         824493.0119         824491.5261         824492.7269
              2.0325            150.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82655.4984          82624.3733          82624.4562          32688.8117          32688.7654          32688.7933         824492.4686         824491.0736         824491.9411
              2.1680            160.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82628.6314          82655.4157          82624.6061          32688.7877          32688.7504          32688.7629         824491.9194         824490.7582         824491.1770
              2.3035            170.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82627.4517          82655.2801          82627.1894          32688.7593          32688.7718          32688.7228         824491.3988         824491.6911         824490.2149
              2.4390            180.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82623.8330          82654.8799          82623.7595          32688.7139          32688.7348          32688.6894         824490.4614         824490.9956         824489.6080
              2.5745            190.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82623.9390          82627.9694          82654.7563          32688.6677          32688.6948          32688.6583         824489.5772         824490.3253         824489.1700
              2.7100            200.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82626.4892          82626.7590          82654.5865          32688.6150          32688.6535          32688.6666         824488.5210         824489.7099         824490.0069
              2.8455            210.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82623.0340          82623.1143          82654.1599          32688.5714          32688.5977          32688.6192         824487.8416         824488.6996         824489.2373
              2.9810            220.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82654.0108          82623.1996          82627.2298          32688.5323          32688.5434          32688.5709         824487.3491         824487.7604         824488.5114
              3.1165            230.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82653.8278          82625.7361          82626.0084          32688.5344          32688.4842          32688.5231         824488.1465         824486.6642         824487.8555
              3.2520            240.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82653.3924          82622.2716          82622.3543          32688.4822          32688.4357          32688.4623         824487.3501         824485.9575         824486.8176
              3.3875            250.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82626.4574          82653.2416          82622.4329          32688.4304          32688.3929          32688.4042         824486.6076         824485.4482         824485.8611
              3.5230            260.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82625.2370          82653.0565          82624.9672          32688.3801          32688.3923          32688.3424         824485.9439         824486.2374         824484.7564
              3.6585            270.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82621.5836          82652.6216          82621.5030          32688.3177          32688.3384          32688.2921         824484.9051         824485.4399         824484.0484
              3.7940            280.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82621.6639          82625.6893          82652.4742          32688.2587          32688.2856          32688.2483         824483.9537         824484.7023         824483.5437
              3.9295            290.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82624.2030          82624.4761          82652.2935          32688.1965          32688.2349          32688.2473         824482.8589         824484.0482         824484.3425
              4.0650            300.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82620.7449          82620.8284          82651.8644          32688.1464          32688.1726          32688.1935         824482.1648         824483.0228         824483.5585
              4.2005            310.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82651.7222          82620.9148          82624.9392          32688.1032          32688.1141          32688.1411         824481.6772         824482.0885         824482.8377
              4.3360            320.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82651.5498          82623.4621          82623.7366          32688.1031          32688.0527          32688.0912         824482.4957         824481.0134         824482.2031
              4.4715            330.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82651.1297          82620.0127          82620.0978          32688.0504          32688.0038          32688.0300         824481.7335         824480.3409         824481.1996
              4.6070            340.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82624.2141          82650.9983          82620.1924          32687.9994          32687.9618          32687.9729         824481.0361         824479.8766         824480.2883
              4.7425            350.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82623.0241          82650.8359          82622.7497          32687.9511          32687.9633          32687.9130         824480.4262         824480.7197         824479.2377
              4.8780            360.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82619.3956          82650.4261          82619.3105          32687.8916          32687.9123          32687.8657         824479.4484         824479.9831         824478.5907
              5.0136             10.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82619.4999          82623.5211          82650.3056          32687.8363          32687.8631          32687.8256         824478.5636         824479.3121         824478.1528
              5.1491             20.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82622.0681          82622.3442          82650.1540          32687.7784          32687.8167          32687.8289         824477.5399         824478.7291         824479.0227
              5.2846             30.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82618.6399          82618.7265          82649.7550          32687.7330          32687.7592          32687.7799         824476.9203         824477.7786         824478.3134
              5.4201             40.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82649.6449          82618.8408          82622.8610          32687.6949          32687.7058          32687.7327         824476.5100         824476.9213         824477.6699
              5.5556             50.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82649.5044          82621.4202          82621.6973          32687.7003          32687.6499          32687.6883         824477.4076         824475.9252         824477.1145
              5.6911             60.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82649.1164          82618.0029          82618.0905          32687.6534          32687.6067          32687.6328         824476.7259         824475.3332         824476.1912
              5.8266             70.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82622.2334          82649.0178          82618.2149          32687.6083          32687.5707          32687.5816         824476.1099         824474.9503         824475.3617
              5.9621             80.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82621.0828          82648.8882          82620.8052          32687.5660          32687.5781          32687.5278         824475.5819         824475.8753         824474.3931
              6.0976             90.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82617.4869          82648.5110          82617.3986          32687.5126          32687.5332          32687.4866         824474.6862         824475.2208         824473.8282
              6.2331            100.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82617.6211          82621.6388          82648.4233          32687.4634          32687.4902          32687.4526         824473.8834         824474.6318         824473.4723
              6.3686            110.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82620.2221          82620.5008          82648.3043          32687.4117          32687.4500          32687.4622         824472.9413         824474.1304         824474.4239
              6.5041            120.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82616.8260          82616.9153          82647.9376          32687.3726          32687.3987          32687.4193         824472.4028         824473.2610         824473.7957
              6.6396            130.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82647.8600          82617.0590          82621.0757          32687.3407          32687.3515          32687.3784         824472.0729         824472.4841         824473.2326
              6.7751            140.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82647.7513          82619.6702          82619.9497          32687.3522          32687.3018          32687.3401         824473.0501         824471.5677         824472.7569
              6.9106            150.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82647.3946          82616.2841          82616.3742          32687.3114          32687.2647          32687.2908         824472.4472         824471.0545         824471.9127
              7.0461            160.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82620.5426          82647.3271          82616.5270          32687.2724          32687.2347          32687.2456         824471.9090         824470.7494         824471.1607
              7.1816            170.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82619.4282          82647.2281          82619.1481          32687.2361          32687.2482          32687.1978         824471.4578         824471.7511         824470.2687
              7.3171            180.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82615.8622          82646.8810          82615.7714          32687.1886          32687.2093          32687.1626         824470.6374         824471.1722         824469.7796
              7.4526            190.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82616.0238          82620.0385          82646.8230          32687.1453          32687.1721          32687.1345         824469.9093         824470.6577         824469.4982
              7.5881            200.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82618.6542          82618.9351          82646.7334          32687.0994          32687.1377          32687.1498         824469.0407         824470.2298         824470.5231
              7.7236            210.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82615.2866          82615.3782          82646.3953          32687.0659          32687.0920          32687.1127         824468.5744         824469.4326         824469.9672
              7.8591            220.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82646.3462          82615.5479          82619.5617          32687.0396          32687.0505          32687.0773         824468.3155         824468.7267         824469.4751
              7.9946            230.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82646.2654          82618.1871          82618.4688          32687.0567          32687.0063          32687.0446         824469.3626         824467.8801         824469.0693
              8.1301            240.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82645.9359          82614.8281          82614.9205          32687.0213          32686.9746          32687.0007         824468.8283         824467.4356         824468.2937
              8.2656            250.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82619.1109          82645.8955          82615.0980          32686.9877          32686.9500          32686.9609         824468.3576         824467.1980         824467.6092
              8.4011            260.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82618.0278          82645.8230          82617.7456          32686.9566          32686.9687          32686.9183         824467.9726         824468.2659         824466.7835
              8.5366            270.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82614.4877          82645.5017          82614.3947          32686.9143          32686.9350          32686.8883         824467.2176         824467.7522         824466.3595
              8.6721            280.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82614.6726          82618.6847          82645.4693          32686.8761          32686.9029          32686.8653         824466.5532         824467.3017         824466.1420
              8.8076            290.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82617.3282          82617.6110          82645.4048          32686.8352          32686.8735          32686.8856         824465.7474         824466.9365         824467.2298
              8.9431            300.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82613.9849          82614.0785          82645.0912          32686.8067          32686.8327          32686.8534         824465.3427         824466.2006         824466.7355
              9.0786            310.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82645.0664          82614.2705          82618.2818          32686.7852          32686.7960          32686.8228         824465.1443         824465.5555         824466.3039
              9.2141            320.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82645.0094          82616.9336          82617.2170          32686.8070          32686.7566          32686.7949         824466.2508         824464.7684         824465.9575
              9.3496            330.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82644.7031          82613.5976          82613.6918          32686.7762          32686.7295          32686.7556         824465.7749         824464.3822         824465.2403
              9.4851            340.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82617.9009          82644.6856          82613.8903          32686.7471          32686.7095          32686.7203         824465.3614         824464.2018         824464.6130
              9.6206            350.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82616.8445          82644.6356          82616.5605          32686.7206          32686.7327          32686.6823         824465.0326         824465.3260         824463.8435
