             time[s]        azimuth[deg]        nrOfCalls[-]          u_hub[m/s]          v_hub[m/s]          w_hub[m/s]      v_tot_hub[m/s]      v_tot_ave[m/s]   AeroTorque_B1[Nm]   AeroTorque_B2[Nm]   AeroTorque_B3[Nm]       AxForce_B1[N]       AxForce_B2[N]       AxForce_B3[N]   AeroMoment_B1[Nm]   AeroMoment_B2[Nm]   AeroMoment_B3[Nm]
              0.0000              0.0000                   1              5.9674              0.0000              0.0000              5.9674              5.9674          85764.5579          86589.6498          86726.2086          29590.2930          29388.1863          29393.3529         744298.9770         739099.8687         739617.6743
              0.1355              9.0803                   1              5.9674              0.0000              0.0000              5.9674              5.9674          85739.5158          86594.6371          86829.2157          29585.0430          29422.9203          29381.7494         744076.6356         739867.5088         739283.2099
              0.2710             18.1606                   1              5.9674              0.0000              0.0000              5.9674              5.9674          85699.1147          86548.9658          86917.4956          29571.2705          29445.2975          29370.7557         743727.2007         740490.1498         738990.1916
              0.4065             27.2409                   1              5.9674              0.0000              0.0000              5.9674              5.9674          85685.7394          86488.6651          86978.9924          29556.6312          29467.5919          29361.9959         743342.8601         741122.1931         738724.5074
              0.5420             36.3212                   1              5.9674              0.0000              0.0000              5.9674              5.9674          85693.6970          86424.5157          87020.1627          29541.4750          29490.0853          29354.7835         742942.8627         741759.6785         738487.9891
              0.6775             45.4016                   1              5.9674              0.0000              0.0000              5.9674              5.9674          85739.2000          86357.7291          87050.1980          29526.0358          29512.0041          29348.6698         742538.3523         742377.9712         738277.8750
              0.8130             54.4819                   1              5.9674              0.0000              0.0000              5.9674              5.9674          85805.8225          86285.2993          87049.2646          29510.6457          29532.3854          29344.0669         742140.1354         742949.5985         738108.2629
              0.9485             63.5622                   1              5.9674              0.0000              0.0000              5.9674              5.9674          85907.6435          86211.7218          87033.8167          29495.5735          29550.3811          29341.5586         741756.0464         743450.4264         737996.3713
              1.0840             72.6425                   1              5.9674              0.0000              0.0000              5.9674              5.9674          86027.0800          86127.5993          86994.7699          29481.0282          29565.2396          29341.6649         741391.1151         743859.2893         737957.9618
              1.2195             81.7228                   1              5.9674              0.0000              0.0000              5.9674              5.9674          86164.6336          86050.7348          86942.5093          29467.0143          29576.4125          29344.8061         741044.5582         744161.2299         738005.8535
