             Time[s]        Azimuth[deg]         Power[Watt]      Axial_Force[N]
              0.0000              0.0000      0.31913355E+06      0.98042148E+05
              0.1355             10.0000      0.31934484E+06      0.98070728E+05
              0.2710             20.0000      0.31932538E+06      0.98065355E+05
              0.4065             30.0000      0.31931104E+06      0.98064049E+05
              0.5420             40.0000      0.31931706E+06      0.98064096E+05
              0.6775             50.0000      0.31932064E+06      0.98064557E+05
              0.8130             60.0000      0.31931325E+06      0.98065009E+05
              0.9485             70.0000      0.31932067E+06      0.98065414E+05
              1.0840             80.0000      0.31932387E+06      0.98065779E+05
              1.2195             90.0000      0.31931560E+06      0.98066010E+05
              1.3550            100.0000      0.31932210E+06      0.98066182E+05
              1.4905            110.0000      0.31932448E+06      0.98066335E+05
              1.6260            120.0000      0.31931550E+06      0.98066384E+05
              1.7615            130.0000      0.31932140E+06      0.98066402E+05
              1.8970            140.0000      0.31932329E+06      0.98066427E+05
              2.0325            150.0000      0.31931391E+06      0.98066370E+05
              2.1680            160.0000      0.31931948E+06      0.98066301E+05
              2.3035            170.0000      0.31932111E+06      0.98066254E+05
              2.4390            180.0000      0.31931152E+06      0.98066138E+05
              2.5745            190.0000      0.31931692E+06      0.98066021E+05
              2.7100            200.0000      0.31931843E+06      0.98065935E+05
              2.8455            210.0000      0.31930873E+06      0.98065788E+05
              2.9810            220.0000      0.31931405E+06      0.98065647E+05
              3.1165            230.0000      0.31931551E+06      0.98065542E+05
              3.2520            240.0000      0.31930578E+06      0.98065380E+05
              3.3875            250.0000      0.31931108E+06      0.98065227E+05
              3.5230            260.0000      0.31931254E+06      0.98065115E+05
              3.6585            270.0000      0.31930281E+06      0.98064948E+05
              3.7940            280.0000      0.31930811E+06      0.98064793E+05
              3.9295            290.0000      0.31930959E+06      0.98064679E+05
              4.0650            300.0000      0.31929988E+06      0.98064512E+05
              4.2005            310.0000      0.31930521E+06      0.98064358E+05
              4.3360            320.0000      0.31930672E+06      0.98064247E+05
              4.4715            330.0000      0.31929705E+06      0.98064084E+05
              4.6070            340.0000      0.31930242E+06      0.98063934E+05
              4.7425            350.0000      0.31930397E+06      0.98063827E+05
              4.8780            360.0000      0.31929434E+06      0.98063670E+05
              5.0136             10.0000      0.31929974E+06      0.98063525E+05
              5.1491             20.0000      0.31930134E+06      0.98063424E+05
              5.2846             30.0000      0.31929175E+06      0.98063272E+05
              5.4201             40.0000      0.31929719E+06      0.98063133E+05
              5.5556             50.0000      0.31929883E+06      0.98063039E+05
              5.6911             60.0000      0.31928929E+06      0.98062893E+05
              5.8266             70.0000      0.31929477E+06      0.98062761E+05
              5.9621             80.0000      0.31929645E+06      0.98062672E+05
              6.0976             90.0000      0.31928695E+06      0.98062532E+05
              6.2331            100.0000      0.31929247E+06      0.98062406E+05
              6.3686            110.0000      0.31929420E+06      0.98062324E+05
              6.5041            120.0000      0.31928474E+06      0.98062191E+05
              6.6396            130.0000      0.31929030E+06      0.98062071E+05
              6.7751            140.0000      0.31929207E+06      0.98061994E+05
