             Time[s]        Azimuth[deg]         Power[Watt]      Axial_Force[N]
              0.0000              0.0000      0.30301847E+06      0.88371832E+05
              0.1355              9.0803      0.30311549E+06      0.88389713E+05
              0.2710             18.1606      0.30311807E+06      0.88387324E+05
              0.4065             27.2409      0.30310382E+06      0.88386219E+05
              0.5420             36.3212      0.30308626E+06      0.88386344E+05
              0.6775             45.4016      0.30309649E+06      0.88386710E+05
              0.8130             54.4819      0.30308861E+06      0.88387098E+05
              0.9485             63.5622      0.30310357E+06      0.88387513E+05
              1.0840             72.6425      0.30309921E+06      0.88387933E+05
              1.2195             81.7228      0.30310906E+06      0.88388233E+05
              1.3550             90.8031      0.30311179E+06      0.88388520E+05
              1.4905             99.8834      0.30312073E+06      0.88388761E+05
              1.6260            108.9637      0.30312996E+06      0.88388932E+05
              1.7615            118.0441      0.30312637E+06      0.88389023E+05
              1.8970            127.1244      0.30312150E+06      0.88389501E+05
              2.0325            136.2047      0.30313954E+06      0.88389555E+05
              2.1680            145.2850      0.30312748E+06      0.88389103E+05
              2.3035            154.3653      0.30311725E+06      0.88389128E+05
              2.4390            163.4456      0.30311407E+06      0.88389148E+05
              2.5745            172.5259      0.30310277E+06      0.88389145E+05
              2.7100            181.6062      0.30311657E+06      0.88389114E+05
              2.8455            190.6866      0.30310673E+06      0.88389125E+05
              2.9810            199.7669      0.30311578E+06      0.88389069E+05
              3.1165            208.8472      0.30311488E+06      0.88388998E+05
              3.2520            217.9275      0.30313216E+06      0.88388930E+05
              3.3875            227.0078      0.30312488E+06      0.88388839E+05
              3.5230            236.0881      0.30312366E+06      0.88388693E+05
              3.6585            245.1684      0.30313102E+06      0.88388579E+05
              3.7940            254.2487      0.30313369E+06      0.88388854E+05
              3.9295            263.3291      0.30312388E+06      0.88388713E+05
              4.0650            272.4094      0.30312599E+06      0.88388159E+05
              4.2005            281.4897      0.30310765E+06      0.88388101E+05
              4.3360            290.5700      0.30310664E+06      0.88388051E+05
              4.4715            299.6503      0.30310735E+06      0.88387972E+05
              4.6070            308.7306      0.30310922E+06      0.88387972E+05
              4.7425            317.8109      0.30310804E+06      0.88387890E+05
              4.8780            326.8912      0.30310530E+06      0.88387828E+05
              5.0136            335.9716      0.30312286E+06      0.88387774E+05
              5.1491            345.0519      0.30311642E+06      0.88387699E+05
