             time[s]        azimuth[deg]        nrOfCalls[-]          u_hub[m/s]          v_hub[m/s]          w_hub[m/s]      v_tot_hub[m/s]      v_tot_ave[m/s]   AeroTorque_B1[Nm]   AeroTorque_B2[Nm]   AeroTorque_B3[Nm]       AxForce_B1[N]       AxForce_B2[N]       AxForce_B3[N]   AeroMoment_B1[Nm]   AeroMoment_B2[Nm]   AeroMoment_B3[Nm]
              0.0000              0.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          80478.7506          80481.2858          80476.5959          33653.6203          33653.6211          33653.6014         852758.2486         852758.2818         852757.6453
              0.1355             10.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          81641.5712          81645.7454          81645.6519          33947.9821          33948.0210          33947.9855         852097.2491         852098.5058         852097.4002
              0.2710             20.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          81733.1248          81734.6092          81748.8584          33988.2277          33988.3007          33988.2523         852382.9350         852385.2874         852383.7791
              0.4065             30.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          81561.4536          81566.3210          81571.8450          33969.7975          33969.8163          33969.8347         852314.9176         852315.8000         852316.4204
              0.5420             40.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          81320.7006          81317.8703          81321.1831          33949.9926          33949.9942          33950.0476         852204.6457         852204.7216         852206.4470
              0.6775             50.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          81115.7143          81104.0746          81102.8176          33927.3189          33927.2966          33927.3826         852108.8281         852108.0787         852110.8329
              0.8130             60.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          80911.4290          80906.1720          80907.7438          33907.7734          33907.7273          33907.7664         852004.4856         852003.0017         852004.2366
              0.9485             70.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          80724.5164          80725.2942          80721.4524          33874.7672          33874.7114          33874.7223         851808.9987         851807.2244         851807.5476
              1.0840             80.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          80563.4222          80576.4915          80564.8732          33849.1321          33849.0688          33849.0526         851663.5486         851661.5670         851660.9970
              1.2195             90.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          80428.0898          80431.9204          80426.6259          33807.9624          33807.9701          33807.9283         851376.8871         851377.1560         851375.8024
              1.3550            100.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          80315.2576          80318.3499          80319.0875          33782.7124          33782.7582          33782.7054         851237.8770         851239.3470         851237.6669
              1.4905            110.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          80217.9716          80216.4476          80229.6213          33756.2419          33756.3222          33756.2610         851087.1168         851089.6842         851087.7707
              1.6260            120.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          80143.2482          80144.7802          80148.5775          33733.2068          33733.2417          33733.2509         850966.2460         850967.3511         850967.6628
              1.7615            130.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          80081.6802          80077.8851          80080.9879          33710.4528          33710.4576          33710.5073         850845.1289         850845.3233         850846.8563
              1.8970            140.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          80034.0844          80022.4401          80021.5009          33691.6264          33691.6076          33691.6891         850747.8164         850747.1670         850749.7658
              2.0325            150.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79986.0411          79980.7075          79982.2676          33672.7083          33672.6646          33672.7001         850654.7840         850653.3727         850654.4920
              2.1680            160.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79947.8053          79948.4477          79944.7093          33652.6365          33652.5824          33652.5907         850562.9976         850561.2742         850561.5134
              2.3035            170.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79911.2054          79923.8287          79912.2001          33636.9099          33636.8477          33636.8294         850504.8853         850502.9401         850502.3065
              2.4390            180.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79889.8642          79893.6227          79888.2913          33619.7981          33619.8065          33619.7631         850429.0613         850429.3566         850427.9561
              2.5745            190.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79866.4523          79869.5610          79870.1706          33604.2876          33604.3336          33604.2796         850360.7559         850362.2429         850360.5276
              2.7100            200.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79846.9238          79845.9085          79858.5452          33591.6555          33591.7361          33591.6739         850309.6321         850312.2139         850310.2740
              2.8455            210.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79836.0064          79837.5969          79841.3853          33581.4266          33581.4619          33581.4702         850272.8714         850273.9862         850274.2780
              2.9810            220.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79830.4738          79826.7913          79832.3509          33573.1048          33573.1129          33573.1589         850247.3476         850247.5780         850249.0671
              3.1165            230.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79829.6652          79818.0556          79817.0187          33566.4554          33566.4372          33566.5176         850231.4194         850230.7796         850233.3620
              3.2520            240.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79821.3919          79816.0517          79817.6594          33561.1988          33561.1555          33561.1905         850223.4923         850222.0859         850223.0723
              3.3875            250.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79819.4940          79817.5982          79813.9070          33557.0886          33557.0346          33557.0424         850221.9448         850220.2264         850220.5074
              3.5230            260.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79809.8099          79822.4577          79810.8590          33553.8849          33553.8228          33553.8044         850225.2646         850223.3228         850222.6825
              3.6585            270.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79815.0607          79818.7833          79813.4403          33551.3562          33551.3647          33551.3211         850230.0300         850230.3271         850228.9206
              3.7940            280.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79815.0008          79820.6129          79818.6815          33549.4842          33549.5305          33549.4764         850239.2231         850240.7119         850238.9921
              3.9295            290.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79814.9505          79813.3600          79826.5392          33548.1288          33548.2094          33548.1472         850251.0031         850253.5852         850251.6434
              4.0650            300.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79819.9305          79821.5624          79825.2764          33547.2019          33547.2370          33547.2454         850264.9679         850266.0772         850266.3747
              4.2005            310.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79827.0752          79823.4041          79829.0342          33546.6424          33546.6503          33546.6965         850281.0351         850281.2662         850282.7552
              4.3360            320.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79836.4582          79824.8792          79823.2821          33546.3735          33546.3552          33546.4357         850298.3646         850297.7261         850300.3086
              4.4715            330.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79836.3983          79831.0501          79832.6920          33546.3448          33546.3013          33546.3363         850316.6979         850315.2913         850316.4011
              4.6070            340.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79841.0877          79839.1072          79835.4445          33546.5133          33546.4593          33546.4672         850335.7923         850334.0721         850334.3034
              4.7425            350.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79835.6912          79849.1989          79837.6288          33546.8405          33546.7783          33546.7599         850355.3312         850353.3876         850352.7492
              4.8780            360.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79845.9715          79849.6718          79844.3213          33547.2212          33547.2296          33547.1861         850372.8125         850373.1085         850371.7031
              5.0136             10.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79849.0870          79852.2546          79852.7427          33547.7424          33547.7885          33547.7345         850391.6154         850393.1044         850391.3843
              5.1491             20.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79851.5292          79849.6181          79863.0909          33548.3507          33548.4313          33548.3691         850410.5621         850413.1439         850411.2006
              5.2846             30.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79858.3742          79860.0316          79863.7268          33549.0303          33549.0653          33549.0737         850429.6918         850430.8014         850431.0969
              5.4201             40.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79866.8590          79863.2095          79866.3844          33549.7801          33549.7880          33549.8341         850449.2847         850449.5160         850451.0037
              5.5556             50.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79877.2161          79865.6623          79863.7779          33550.5730          33550.5547          33550.6352         850468.7996         850468.1612         850470.7433
              5.6911             60.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79877.8139          79872.4593          79874.1149          33551.4002          33551.3567          33551.3917         850488.2236         850486.8184         850487.9280
              5.8266             70.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79880.3833          79880.0828          79877.2016          33552.2531          33552.1991          33552.2070         850507.5216         850505.8024         850506.0337
              5.9621             80.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79877.6782          79891.0792          79879.5330          33553.1220          33553.0604          33553.0416         850526.5435         850524.6147         850523.9659
              6.0976             90.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79887.8303          79891.5327          79886.1763          33553.9263          33553.9352          33553.8919         850542.9429         850543.2521         850541.8498
              6.2331            100.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79890.7412          79893.9292          79893.6125          33554.7725          33554.8187          33554.7653         850560.2042         850561.6940         850559.9912
              6.3686            110.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79892.8836          79891.0583          79904.4228          33555.6239          33555.7039          33555.6428         850577.2434         850579.8093         850577.8924
              6.5041            120.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79899.3131          79900.9736          79904.6791          33556.4785          33556.5129          33556.5218         850594.1754         850595.2689         850595.5776
              6.6396            130.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79906.5302          79903.6683          79906.8620          33557.3466          33557.3537          33557.4000         850611.3398         850611.5535         850613.0421
              6.7751            140.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79917.1230          79905.5907          79903.7942          33558.2107          33558.1919          33558.2719         850628.2474         850627.5986         850630.1641
              6.9106            150.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79917.1591          79911.7719          79913.4509          33559.0701          33559.0268          33559.0612         850644.9298         850643.5276         850644.6208
              7.0461            160.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79919.1124          79918.7667          79915.9133          33559.9233          33559.8699          33559.8771         850661.3880         850659.6856         850659.8990
              7.1816            170.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79915.8366          79929.1306          79917.6047          33560.7660          33560.7049          33560.6861         850677.5048         850675.5878         850674.9388
              7.3171            180.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79925.2294          79928.9401          79923.5326          33561.5228          33561.5317          33561.4884         850690.9608         850691.2698         850689.8674
              7.4526            190.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79927.4571          79930.6612          79930.3027          33562.3034          33562.3497          33562.2963         850705.2465         850706.7357         850705.0329
              7.5881            200.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79928.9178          79927.1775          79940.4376          33563.0751          33563.1551          33563.0939         850719.3054         850721.8700         850719.9533
              7.7236            210.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79934.5962          79936.3102          79940.0232          33563.8385          33563.8729          33563.8818         850733.2634         850734.3565         850734.6657
              7.8591            220.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79941.1468          79938.3083          79941.5169          33564.6063          33564.6134          33564.6596         850747.4731         850747.6864         850749.1754
              7.9946            230.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79951.0583          79939.5444          79937.8310          33565.3629          33565.3441          33565.4241         850761.4525         850760.8043         850763.3690
              8.1301            240.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79950.4274          79944.9819          79946.7125          33566.1093          33566.0659          33566.1004         850775.2397         850773.8375         850774.9307
              8.2656            250.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79951.7026          79951.3218          79948.4898          33566.8453          33566.7919          33566.7990         850788.8412         850787.1388         850787.3522
              8.4011            260.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79947.8236          79961.0190          79949.5107          33567.5677          33567.5066          33567.4878         850802.1437         850800.2269         850799.5787
              8.5366            270.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79956.4650          79960.1816          79954.7185          33568.2021          33568.2110          33568.1677         850812.8314         850813.1404         850811.7392
              8.6721            280.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79958.0322          79961.2488          79960.8583          33568.8590          33568.9052          33568.8519         850824.3966         850825.8858         850824.1831
              8.8076            290.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79958.8489          79957.1871          79970.3518          33569.5063          33569.5862          33569.5251         850835.7847         850838.3494         850836.4328
              8.9431            300.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79963.8390          79965.6007          79969.3189          33570.1450          33570.1795          33570.1884         850847.1243         850848.2159         850848.5255
              9.0786            310.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79969.7904          79966.9695          79970.1895          33570.7886          33570.7957          33570.8420         850858.7651         850858.9782         850860.4673
              9.2141            320.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79979.0910          79967.5932          79965.9561          33571.4217          33571.4029          33571.4828         850870.2289         850869.5806         850872.1453
              9.3496            330.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79977.8739          79972.3781          79974.1545          33572.0454          33572.0021          33572.0365         850881.5530         850880.1519         850881.2439
              9.4851            340.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79978.5596          79978.1527          79975.3364          33572.6600          33572.6066          33572.6138         850892.7437         850891.0414         850891.2546
              9.6206            350.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79974.1652          79987.2714          79975.7786          33573.2625          33573.2014          33573.1826         850903.6873         850901.7707         850901.1224
              9.7561            360.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79982.1610          79985.8815          79980.3705          33573.7785          33573.7874          33573.7440         850912.0679         850912.3770         850910.9759
              9.8916             10.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79983.1675          79986.3936          79985.9797          33574.3187          33574.3649          33574.3116         850921.3770         850922.8663         850921.1651
             10.0271             20.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79983.4393          79981.8487          79994.9273          33574.8511          33574.9310          33574.8699         850930.5596         850933.1241         850931.2079
             10.1626             30.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79987.8500          79989.6540          79993.3754          33575.3769          33575.4113          33575.4203         850939.7432         850940.8349         850941.1445
             10.2981             40.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79993.3047          79990.4961          79993.7248          33575.9094          33575.9165          33575.9628         850949.2780         850949.4897         850950.9795
             10.4336             50.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          80002.0915          79990.6080          79989.0395          33576.4334          33576.4146          33576.4945         850958.6814         850958.0329         850960.5982
             10.5691             60.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          80000.3879          79994.8488          79996.6658          33576.9501          33576.9067          33576.9412         850967.9936         850966.5921         850967.6841
             10.7046             70.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          80000.5850          80000.1596          79997.3540          33577.4596          33577.4063          33577.4134         850977.2183         850975.5170         850975.7291
             10.8401             80.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          79995.7680          80008.7953          79997.3163          33577.9591          33577.8980          33577.8792         850986.2412         850984.3245         850983.6763
             10.9756             90.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          80003.2273          80006.9499          80001.3980          33578.3741          33578.3831          33578.3397         850992.7455         850993.0545         850991.6534
             11.1111            100.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          80003.7715          80007.0045          80006.5745          33578.8154          33578.8616          33578.8083         851000.2217         851001.7108         851000.0097
             11.2466            110.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          80003.5936          80002.0529          80015.0684          33579.2509          33579.3308          33579.2697         851007.6134         851010.1785         851008.2618
             11.3821            120.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          80007.5262          80009.3675          80013.0905          33579.6817          33579.7161          33579.7251         851015.0481         851016.1403         851016.4494
             11.5176            130.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          80012.5777          80009.7769          80013.0118          33580.1212          33580.1284          33580.1746         851022.8745         851023.0865         851024.5759
             11.6531            140.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          80020.9387          80009.4680          80007.9319          33580.5542          33580.5354          33580.6153         851030.6092         851029.9609         851032.5258
             11.7886            150.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          80018.8369          80013.2610          80015.1136          33580.9818          33580.9384          33580.9729         851038.2914         851036.8900         851037.9820
