             Time[s]        Azimuth[deg]         Power[Watt]      Axial_Force[N]
              0.0000              0.0000      0.31231268E+06      0.92138790E+05
              0.1355             10.0000      0.32611878E+06      0.94282229E+05
              0.2710             20.0000      0.32375800E+06      0.94151091E+05
              0.4065             30.0000      0.32145002E+06      0.93914852E+05
              0.5420             40.0000      0.32006414E+06      0.93849061E+05
              0.6775             50.0000      0.31895377E+06      0.93726509E+05
              0.8130             60.0000      0.31800441E+06      0.93632577E+05
              0.9485             70.0000      0.31712015E+06      0.93471882E+05
              1.0840             80.0000      0.31641935E+06      0.93376562E+05
              1.2195             90.0000      0.31580126E+06      0.93266705E+05
              1.3550            100.0000      0.31521342E+06      0.93136173E+05
              1.4905            110.0000      0.31479656E+06      0.93033852E+05
              1.6260            120.0000      0.31440527E+06      0.92938075E+05
              1.7615            130.0000      0.31405749E+06      0.92848602E+05
              1.8970            140.0000      0.31379889E+06      0.92755273E+05
              2.0325            150.0000      0.31355130E+06      0.92680745E+05
              2.1680            160.0000      0.31332977E+06      0.92608220E+05
              2.3035            170.0000      0.31317439E+06      0.92532361E+05
              2.4390            180.0000      0.31300898E+06      0.92462584E+05
              2.5745            190.0000      0.31285758E+06      0.92402549E+05
              2.7100            200.0000      0.31277128E+06      0.92352129E+05
              2.8455            210.0000      0.31269147E+06      0.92309907E+05
              2.9810            220.0000      0.31258926E+06      0.92274676E+05
              3.1165            230.0000      0.31255533E+06      0.92245281E+05
              3.2520            240.0000      0.31250018E+06      0.92220739E+05
              3.3875            250.0000      0.31243537E+06      0.92200528E+05
              3.5230            260.0000      0.31242646E+06      0.92183751E+05
              3.6585            270.0000      0.31238832E+06      0.92169667E+05
              3.7940            280.0000      0.31234401E+06      0.92157946E+05
              3.9295            290.0000      0.31235190E+06      0.92148272E+05
              4.0650            300.0000      0.31232803E+06      0.92140261E+05
              4.2005            310.0000      0.31229567E+06      0.92133729E+05
              4.3360            320.0000      0.31231347E+06      0.92128397E+05
              4.4715            330.0000      0.31229790E+06      0.92124018E+05
              4.6070            340.0000      0.31227232E+06      0.92120525E+05
              4.7425            350.0000      0.31229588E+06      0.92117738E+05
              4.8780            360.0000      0.31228500E+06      0.92115488E+05
              5.0136             10.0000      0.31226327E+06      0.92113777E+05
              5.1491             20.0000      0.31229012E+06      0.92112481E+05
              5.2846             30.0000      0.31228188E+06      0.92111479E+05
              5.4201             40.0000      0.31226228E+06      0.92110813E+05
              5.5556             50.0000      0.31228343E+06      0.92110389E+05
              5.6911             60.0000      0.31228437E+06      0.92110117E+05
              5.8266             70.0000      0.31226586E+06      0.92110059E+05
              5.9621             80.0000      0.31228786E+06      0.92110142E+05
              6.0976             90.0000      0.31227973E+06      0.92110291E+05
              6.2331            100.0000      0.31225997E+06      0.92110582E+05
              6.3686            110.0000      0.31229446E+06      0.92110954E+05
              6.5041            120.0000      0.31228655E+06      0.92111341E+05
              6.6396            130.0000      0.31226696E+06      0.92111828E+05
              6.7751            140.0000      0.31228831E+06      0.92112359E+05
              6.9106            150.0000      0.31229428E+06      0.92112874E+05
              7.0461            160.0000      0.31227465E+06      0.92113463E+05
              7.1816            170.0000      0.31227071E+06      0.92114075E+05
              7.3171            180.0000      0.31228764E+06      0.92114653E+05
              7.4526            190.0000      0.31226832E+06      0.92115291E+05
              7.5881            200.0000      0.31227853E+06      0.92115938E+05
              7.7236            210.0000      0.31229524E+06      0.92116540E+05
              7.8591            220.0000      0.31227578E+06      0.92117192E+05
              7.9946            230.0000      0.31227281E+06      0.92117847E+05
              8.1301            240.0000      0.31230283E+06      0.92118450E+05
              8.2656            250.0000      0.31228306E+06      0.92119098E+05
              8.4011            260.0000      0.31227997E+06      0.92119744E+05
              8.5366            270.0000      0.31229842E+06      0.92120335E+05
              8.6721            280.0000      0.31229017E+06      0.92120968E+05
              8.8076            290.0000      0.31228684E+06      0.92121596E+05
              8.9431            300.0000      0.31230519E+06      0.92122167E+05
              9.0786            310.0000      0.31228765E+06      0.92122777E+05
              9.2141            320.0000      0.31229343E+06      0.92123382E+05
              9.3496            330.0000      0.31231166E+06      0.92123929E+05
              9.4851            340.0000      0.31229398E+06      0.92124515E+05
              9.6206            350.0000      0.31229978E+06      0.92125095E+05
              9.7561            360.0000      0.31231784E+06      0.92125616E+05
              9.8916             10.0000      0.31230001E+06      0.92126175E+05
             10.0271             20.0000      0.31230579E+06      0.92126728E+05
             10.1626             30.0000      0.31232372E+06      0.92127223E+05
             10.2981             40.0000      0.31230575E+06      0.92127756E+05
             10.4336             50.0000      0.31230461E+06      0.92128282E+05
             10.5691             60.0000      0.31232929E+06      0.92128750E+05
             10.7046             70.0000      0.31231120E+06      0.92129256E+05
             10.8401             80.0000      0.31230995E+06      0.92129757E+05
             10.9756             90.0000      0.31233460E+06      0.92130199E+05
             11.1111            100.0000      0.31231638E+06      0.92130680E+05
             11.2466            110.0000      0.31231502E+06      0.92131155E+05
             11.3821            120.0000      0.31233966E+06      0.92131572E+05
             11.5176            130.0000      0.31232129E+06      0.92132029E+05
             11.6531            140.0000      0.31231983E+06      0.92132479E+05
             11.7886            150.0000      0.31234446E+06      0.92132873E+05
             11.9241            160.0000      0.31232595E+06      0.92133306E+05
             12.0596            170.0000      0.31232439E+06      0.92133733E+05
             12.1951            180.0000      0.31234459E+06      0.92134104E+05
             12.3306            190.0000      0.31233038E+06      0.92134514E+05
             12.4661            200.0000      0.31232872E+06      0.92134919E+05
             12.6016            210.0000      0.31234885E+06      0.92135268E+05
