             time[s]        azimuth[deg]        nrOfCalls[-]          u_hub[m/s]          v_hub[m/s]          w_hub[m/s]      v_tot_hub[m/s]      v_tot_ave[m/s]   AeroTorque_B1[Nm]   AeroTorque_B2[Nm]   AeroTorque_B3[Nm]       AxForce_B1[N]       AxForce_B2[N]       AxForce_B3[N]   AeroMoment_B1[Nm]   AeroMoment_B2[Nm]   AeroMoment_B3[Nm]
              0.0000              0.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83504.3724          83487.9866          83505.5445          32636.1368          32636.1437          32636.1299         817196.2249         817196.4795         817196.0224
              0.1355             10.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83521.9617          83496.7407          83519.6303          32639.7204          32639.7354          32639.7404         817228.1603         817229.8553         817230.0157
              0.2710             20.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83521.5521          83507.0256          83516.3722          32639.1072          32639.1376          32639.1399         817224.3742         817225.2764         817225.3477
              0.4065             30.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83520.5622          83519.3295          83502.9504          32638.9811          32638.9831          32638.9926         817223.7140         817223.7911         817224.1104
              0.5420             40.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83517.1653          83519.4757          83494.2618          32639.0028          32638.9819          32638.9973         817224.2716         817222.4013         817224.1038
              0.6775             50.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83515.9853          83521.1443          83506.6206          32639.0459          32639.0123          32639.0426         817224.4494         817223.4518         817224.3538
              0.8130             60.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83503.2024          83520.7959          83519.5633          32639.0968          32639.0838          32639.0857         817224.7065         817224.2700         817224.3483
              0.9485             70.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83494.6547          83517.5444          83519.8555          32639.1460          32639.1500          32639.1291         817225.0322         817225.1546         817223.2877
              1.0840             80.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83506.9931          83516.3464          83521.5061          32639.1853          32639.1872          32639.1536         817225.2303         817225.2829         817224.2892
              1.2195             90.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83519.8690          83503.4994          83521.0933          32639.2079          32639.2176          32639.2048         817225.0634         817225.3839         817224.9512
              1.3550            100.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83520.0864          83494.8781          83517.7693          32639.2283          32639.2441          32639.2482         817223.8249         817225.5379         817225.6636
              1.4905            110.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83521.6686          83507.1491          83516.5036          32639.2314          32639.2622          32639.2641         817224.6623         817225.5777         817225.6331
              1.6260            120.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83521.1951          83519.9661          83503.5979          32639.2637          32639.2662          32639.2760         817225.1818         817225.2730         817225.5957
              1.7615            130.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83517.8203          83520.1333          83494.9250          32639.2910          32639.2706          32639.2864         817225.7733         817223.9175         817225.6322
              1.8970            140.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83516.5112          83521.6724          83507.1531          32639.2932          32639.2600          32639.2909         817225.6412         817224.6562         817225.5731
              2.0325            150.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83503.5696          83521.1632          83519.9342          32639.2934          32639.2809          32639.2833         817225.5190         817225.0934         817225.1858
              2.1680            160.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83494.8651          83517.7585          83520.0712          32639.2941          32639.2984          32639.2780         817225.4849         817225.6164         817223.7618
              2.3035            170.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83507.0676          83516.4242          83521.5851          32639.2904          32639.2925          32639.2593         817225.3673         817225.4274         817224.4433
              2.4390            180.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83519.8274          83503.4623          83521.0551          32639.2758          32639.2858          32639.2732         817224.9314         817225.2583         817224.8334
              2.5745            190.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83519.9467          83494.7397          83517.6334          32639.2647          32639.2807          32639.2850         817223.4681         817225.1856         817225.3178
              2.7100            200.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83521.4463          83506.9279          83516.2848          32639.2412          32639.2722          32639.2743         817224.1172         817225.0367         817225.0973
              2.8455            210.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83520.9045          83519.6764          83503.3119          32639.2511          32639.2537          32639.2636         817224.4812         817224.5758         817224.9028
              2.9810            220.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83517.4736          83519.7861          83494.5791          32639.2596          32639.2393          32639.2552         817224.9446         817223.0921         817224.8098
              3.1165            230.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83516.1174          83521.2781          83506.7599          32639.2461          32639.2130          32639.2440         817224.7076         817223.7250         817224.6448
              3.2520            240.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83503.1392          83520.7305          83519.5025          32639.2333          32639.2207          32639.2233         817224.5003         817224.0767         817224.1715
              3.3875            250.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83494.4011          83517.2955          83519.6076          32639.2230          32639.2274          32639.2071         817224.3977         817224.5309         817222.6787
              3.5230            260.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83506.5784          83515.9360          83521.0963          32639.2104          32639.2125          32639.1794         817224.2258         817224.2873         817223.3048
              3.6585            270.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83519.3188          83502.9559          83520.5465          32639.1886          32639.1986          32639.1860         817223.7477         817224.0755         817223.6519
              3.7940            280.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83519.4222          83494.2157          83517.1101          32639.1715          32639.1875          32639.1919         817222.2523         817223.9703         817224.1035
              3.9295            290.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83520.9100          83506.3922          83515.7499          32639.1432          32639.1742          32639.1764         817222.8769         817223.7973         817223.8588
              4.0650            300.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83520.3600          83519.1323          83502.7701          32639.1494          32639.1519          32639.1619         817223.2242         817223.3191         817223.6472
              4.2005            310.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83516.9242          83519.2360          83494.0296          32639.1550          32639.1346          32639.1506         817223.6769         817221.8253         817223.5432
              4.3360            320.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83515.5646          83520.7246          83506.2068          32639.1393          32639.1062          32639.1372         817223.4343         817222.4522         817223.3725
              4.4715            330.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83502.5864          83520.1756          83518.9481          32639.1249          32639.1124          32639.1149         817223.2257         817222.8024         817222.8976
              4.6070            340.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83493.8467          83516.7415          83519.0529          32639.1136          32639.1180          32639.0977         817223.1253         817223.2587         817221.4073
              4.7425            350.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83506.0255          83515.3835          83520.5431          32639.1004          32639.1025          32639.0694         817222.9586         817223.0203         817222.0380
              4.8780            360.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83518.7687          83502.4075          83519.9961          32639.0783          32639.0883          32639.0758         817222.4882         817222.8161         817222.3928
              5.0136             10.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83518.8754          83493.6693          83516.5641          32639.0613          32639.0773          32639.0817         817221.0028         817222.7206         817222.8540
              5.1491             20.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83520.3677          83505.8501          83515.2083          32639.0334          32639.0644          32639.0665         817221.6386         817222.5591         817222.6207
              5.2846             30.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83519.8228          83518.5956          83502.2349          32639.0402          32639.0427          32639.0527         817221.9987         817222.0940         817222.4220
              5.4201             40.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83516.3934          83518.7045          83493.4985          32639.0465          32639.0261          32639.0421         817222.4655         817220.6143         817222.3320
              5.5556             50.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83515.0399          83520.1992          83505.6817          32639.0317          32638.9986          32639.0296         817222.2378         817221.2557         817222.1761
              5.6911             60.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83502.0694          83519.6568          83518.4296          32639.0183          32639.0058          32639.0083         817222.0448         817221.6215         817221.7165
              5.8266             70.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83493.3350          83516.2301          83518.5409          32639.0082          32639.0126          32638.9922         817221.9606         817222.0940         817220.2430
              5.9621             80.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83505.5207          83514.8790          83520.0381          32638.9962          32638.9983          32638.9652         817221.8105         817221.8722         817220.8901
              6.0976             90.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83518.2712          83501.9114          83519.4982          32638.9754          32638.9854          32638.9729         817221.3572         817221.6851         817221.2619
              6.2331            100.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83518.3849          83493.1790          83516.0742          32638.9598          32638.9758          32638.9802         817219.8893         817221.6068         817221.7403
              6.3686            110.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83519.8845          83505.3672          83514.7257          32638.9332          32638.9642          32638.9664         817220.5422         817221.4626         817221.5243
              6.5041            120.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83519.3472          83518.1203          83501.7609          32638.9414          32638.9440          32638.9539         817220.9197         817221.0150         817221.3430
              6.6396            130.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83515.9258          83518.2363          83493.0305          32638.9492          32638.9288          32638.9448         817221.4039         817219.5531         817221.2704
              6.7751            140.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83514.5797          83519.7384          83505.2212          32638.9359          32638.9028          32638.9338         817221.1937         817220.2115         817221.1320
              6.9106            150.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83501.6177          83519.2036          83517.9768          32638.9240          32638.9115          32638.9140         817221.0180         817220.5948         817220.6901
              7.0461            160.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83492.8894          83515.7848          83518.0952          32638.9154          32638.9198          32638.8994         817220.9511         817221.0845         817219.2338
              7.1816            170.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83505.0824          83514.4411          83519.5996          32638.9048          32638.9070          32638.8738         817220.8182         817220.8799         817219.8977
              7.3171            180.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          83517.8404          83501.4818          83519.0672          32638.8855          32638.8955          32638.8830         817220.3815         817220.7097         817220.2864
