             Time[s]        Azimuth[deg]         Power[Watt]      Axial_Force[N]
              0.0000              0.0000      0.32068570E+06      0.97376248E+05
              0.1355             10.0000      0.32088409E+06      0.97406463E+05
              0.2710             20.0000      0.32090204E+06      0.97406243E+05
              0.4065             30.0000      0.32687880E+06      0.98851925E+05
              0.5420             40.0000      0.32769190E+06      0.99063730E+05
              0.6775             50.0000      0.32738920E+06      0.98995280E+05
              0.8130             60.0000      0.32677321E+06      0.98852416E+05
              0.9485             70.0000      0.32595713E+06      0.98657178E+05
              1.0840             80.0000      0.32508716E+06      0.98434054E+05
              1.2195             90.0000      0.32420408E+06      0.98213240E+05
              1.3550            100.0000      0.32339154E+06      0.98026853E+05
              1.4905            110.0000      0.32272686E+06      0.97855788E+05
              1.6260            120.0000      0.32216419E+06      0.97716007E+05
              1.7615            130.0000      0.32170050E+06      0.97604608E+05
              1.8970            140.0000      0.32136272E+06      0.97517385E+05
              2.0325            150.0000      0.32108755E+06      0.97450660E+05
              2.1680            160.0000      0.32086832E+06      0.97401861E+05
              2.3035            170.0000      0.32074257E+06      0.97363058E+05
              2.4390            180.0000      0.32064154E+06      0.97341003E+05
              2.5745            190.0000      0.32057260E+06      0.97328030E+05
              2.7100            200.0000      0.32056107E+06      0.97321853E+05
              2.8455            210.0000      0.32054652E+06      0.97320432E+05
              2.9810            220.0000      0.32053797E+06      0.97322392E+05
              3.1165            230.0000      0.32057312E+06      0.97326490E+05
              3.2520            240.0000      0.32058736E+06      0.97331789E+05
              3.3875            250.0000      0.32059624E+06      0.97337767E+05
              3.5230            260.0000      0.32063970E+06      0.97343885E+05
              3.6585            270.0000      0.32065814E+06      0.97349768E+05
              3.7940            280.0000      0.32066598E+06      0.97355334E+05
              3.9295            290.0000      0.32070564E+06      0.97360375E+05
              4.0650            300.0000      0.32071840E+06      0.97364772E+05
              4.2005            310.0000      0.32071960E+06      0.97368632E+05
              4.3360            320.0000      0.32075213E+06      0.97371890E+05
              4.4715            330.0000      0.32075766E+06      0.97374528E+05
              4.6070            340.0000      0.32075200E+06      0.97376725E+05
              4.7425            350.0000      0.32077817E+06      0.97378459E+05
              4.8780            360.0000      0.32077799E+06      0.97379739E+05
              5.0136             10.0000      0.32076737E+06      0.97380757E+05
              5.1491             20.0000      0.32078931E+06      0.97381492E+05
              5.2846             30.0000      0.32078565E+06      0.97381947E+05
              5.4201             40.0000      0.32077225E+06      0.97382301E+05
              5.5556             50.0000      0.32079203E+06      0.97382520E+05
              5.6911             60.0000      0.32078676E+06      0.97382588E+05
              5.8266             70.0000      0.32077222E+06      0.97382665E+05
              5.9621             80.0000      0.32079124E+06      0.97382696E+05
              6.0976             90.0000      0.32078550E+06      0.97382648E+05
              6.2331            100.0000      0.32077074E+06      0.97382663E+05
              6.3686            110.0000      0.32078969E+06      0.97382673E+05
              6.5041            120.0000      0.32078400E+06      0.97382632E+05
              6.6396            130.0000      0.32076938E+06      0.97382674E+05
              6.7751            140.0000      0.32078851E+06      0.97382720E+05
              6.9106            150.0000      0.32078302E+06      0.97382721E+05
              7.0461            160.0000      0.32076861E+06      0.97382806E+05
              7.1816            170.0000      0.32078795E+06      0.97382894E+05
              7.3171            180.0000      0.32078264E+06      0.97382934E+05
              7.4526            190.0000      0.32076841E+06      0.97383052E+05
              7.5881            200.0000      0.32078790E+06      0.97383171E+05
              7.7236            210.0000      0.32078272E+06      0.97383236E+05
              7.8591            220.0000      0.32076861E+06      0.97383376E+05
              7.9946            230.0000      0.32078821E+06      0.97383511E+05
              8.1301            240.0000      0.32078310E+06      0.97383589E+05
              8.2656            250.0000      0.32076907E+06      0.97383739E+05
              8.4011            260.0000      0.32078872E+06      0.97383882E+05
