! Aero mudule input file for airfoil data

Airfoil_Name  DU 91-W250
t/c           0.25         ! thickness ratio w.r.t. chord

format 1       !  1: alfa-cl-cd-cm	; 2: alfa-cl; alfa-cd; alfa-cm

Reynolds_Nr 5.0E+05
-180.000000    -0.390500    0.026300    -0.086900
-179.750000    -0.405700    0.024300    -0.083500
-179.500000    -0.379900    0.023400    -0.070900
-178.990000    -0.328400    0.020200    -0.044200
-178.510000    -0.299700    0.020900    -0.025200
-177.990000    -0.259100    0.021700    -0.002700
-177.010000    -0.171900    0.023500    0.044500
-176.000000    -0.082800    0.026800    0.093600
-175.000000    0.006200    0.031400    0.143100
-174.000000    0.097100    0.037600    0.193000
-173.000000    0.188500    0.046000    0.241600
-172.000000    0.296000    0.059300    0.292000
-170.990000    0.382200    0.077200    0.323300
-170.000000    0.473000    0.107200    0.339200
-169.490000    0.516200    0.124700    0.344200
-169.000000    0.541300    0.141700    0.344300
-168.510000    0.549200    0.154600    0.341000
-168.000000    0.555500    0.169200    0.338500
-167.500000    0.553600    0.183800    0.331400
-167.000000    0.551500    0.198100    0.327900
-166.510000    0.553800    0.213700    0.324400
-166.000000    0.541300    0.225000    0.317200
-165.000000    0.528000    0.246900    0.309500
-164.000000    0.496500    0.262100    0.301900
-163.000000    0.468000    0.275800    0.294300
-162.000000    0.437800    0.282500    0.289800
-161.000000    0.378600    0.272800    0.282600
-160.500000    0.378400    0.277500    0.283800
-160.000000    0.388000    0.285400    0.286400
-159.000000    0.424000    0.306300    0.292600
-158.000000    0.438200    0.323600    0.302200
-156.000000    0.487700    0.371300    0.324100
-154.000000    0.550500    0.432800    0.348400
-152.000000    0.614000    0.502400    0.375100
-150.000000    0.670000    0.576800    0.403900
-148.000000    0.707700    0.643600    0.424800
-146.000000    0.741600    0.713300    0.444400
-144.000000    0.768600    0.783200    0.462300
-142.000000    0.788700    0.852900    0.478600
-140.000000    0.802200    0.921900    0.493300
-138.000000    0.809400    0.989700    0.506500
-136.000000    0.810500    1.056100    0.518200
-134.000000    0.805900    1.120600    0.528400
-132.000000    0.796000    1.183100    0.537400
-130.000000    0.780900    1.243200    0.545100
-128.000000    0.761200    1.300900    0.551500
-126.000000    0.737100    1.355900    0.556800
-124.000000    0.709100    1.408100    0.561000
-122.000000    0.677300    1.457500    0.564200
-120.000000    0.642200    1.503900    0.566300
-118.000000    0.604000    1.547300    0.567500
-116.000000    0.563000    1.587700    0.567800
-114.000000    0.519500    1.625000    0.567300
-112.000000    0.473800    1.659200    0.565900
-110.000000    0.426100    1.690300    0.563800
-108.000000    0.376700    1.718300    0.560900
-106.000000    0.325700    1.743200    0.557300
-104.000000    0.273400    1.765000    0.553000
-102.000000    0.220000    1.783700    0.548200
-100.000000    0.165700    1.799400    0.542700
-98.000000    0.110600    1.812000    0.536600
-96.000000    0.055000    1.821600    0.530000
-94.000000    -0.001000    1.828200    0.522900
-92.000000    -0.057200    1.831800    0.515300
-90.000000    -0.113500    1.832300    0.507300
-88.000000    -0.169600    1.829900    0.498800
-86.000000    -0.225500    1.824500    0.489900
-84.000000    -0.280900    1.816000    0.480700
-82.000000    -0.335700    1.804600    0.471100
-80.000000    -0.389700    1.790300    0.461200
-78.000000    -0.442700    1.772900    0.451000
-76.000000    -0.494600    1.752600    0.440400
-74.000000    -0.545100    1.729200    0.429700
-72.000000    -0.594000    1.702900    0.418600
-70.000000    -0.641200    1.673700    0.407300
-68.000000    -0.686400    1.641400    0.395800
-66.000000    -0.729400    1.606200    0.384100
-64.000000    -0.769800    1.568100    0.372200
-62.000000    -0.807500    1.527000    0.360100
-60.000000    -0.842100    1.483100    0.347700
-58.000000    -0.873400    1.436300    0.335200
-56.000000    -0.901100    1.386800    0.322400
-54.000000    -0.924800    1.334500    0.309400
-52.000000    -0.944100    1.279700    0.296100
-50.000000    -0.958800    1.222500    0.282500
-48.000000    -0.968400    1.162900    0.268600
-46.000000    -0.972600    1.101200    0.254300
-44.000000    -0.971100    1.037500    0.239700
-42.000000    -0.963400    0.972200    0.224500
-40.000000    -0.949200    0.905500    0.208800
-38.000000    -0.928200    0.837700    0.192500
-36.000000    -0.900100    0.769300    0.175400
-34.000000    -0.864600    0.700600    0.157600
-32.250000    -0.801500    0.640900    0.125800
-31.250000    -0.760700    0.597200    0.113400
-30.250000    -0.726200    0.559400    0.101900
-29.770000    -1.031300    0.329300    0.054100
-29.280000    -1.012500    0.310800    0.046400
-28.280000    -0.990600    0.281400    0.036100
-27.280000    -0.973700    0.254200    0.025900
-26.280000    -0.999200    0.232200    0.015100
-25.290000    -1.027300    0.209200    0.003100
-24.290000    -1.015100    0.187900    -0.005000
-23.290000    -1.004800    0.170500    -0.011000
-22.290000    -0.983100    0.149300    -0.019400
-21.290000    -0.970900    0.137800    -0.022600
-20.790000    -0.962400    0.129800    -0.025200
-20.290000    -0.952400    0.124800    -0.026800
-19.290000    -0.962200    0.112400    -0.032300
-18.280000    -0.965500    0.091900    -0.038600
-17.290000    -0.908900    0.096900    -0.030500
-16.280000    -0.838800    0.089500    -0.034500
-15.280000    -0.746600    0.082700    -0.037500
-14.280000    -0.674600    0.074000    -0.040900
-13.280000    -0.640600    0.071800    -0.039000
-12.270000    -0.602200    0.069800    -0.036900
-11.270000    -0.564500    0.065500    -0.035900
-10.270000    -0.494300    0.058400    -0.040900
-9.270000    -0.449800    0.052200    -0.040200
-8.260000    -0.389600    0.041800    -0.041800
-7.260000    -0.332500    0.037300    -0.043200
-6.260000    -0.271200    0.032000    -0.045200
-5.260000    -0.207500    0.026800    -0.045500
-4.250000    -0.148800    0.024300    -0.045300
-3.250000    -0.081300    0.022100    -0.048000
-2.750000    -0.041100    0.020600    -0.050300
-2.250000    -0.000700    0.019400    -0.051600
-1.750000    0.050500    0.017700    -0.054800
-1.250000    0.098200    0.017100    -0.057600
-0.740000    0.154700    0.016300    -0.061400
-0.240000    0.217400    0.015800    -0.066100
0.270000    0.280500    0.015100    -0.070600
0.760000    0.345200    0.019600    -0.075300
1.250000    0.402800    0.019500    -0.078400
1.770000    0.465500    0.019400    -0.081700
2.270000    0.527900    0.019400    -0.084700
2.770000    0.583200    0.019600    -0.086800
3.270000    0.640500    0.019800    -0.088700
3.770000    0.690100    0.020100    -0.089000
4.280000    0.741300    0.020400    -0.090100
4.780000    0.791200    0.021100    -0.090100
5.290000    0.837000    0.021600    -0.090200
5.780000    0.881100    0.022300    -0.090100
6.280000    0.922000    0.023200    -0.089800
6.790000    0.956000    0.024900    -0.088500
7.290000    0.987200    0.026600    -0.086600
7.790000    1.012700    0.029600    -0.085200
8.290000    1.034200    0.034300    -0.083900
8.790000    1.058400    0.038400    -0.087700
9.790000    1.074100    0.040800    -0.087400
10.290000    1.075700    0.041700    -0.086600
10.790000    1.089500    0.047800    -0.088300
11.290000    1.140200    0.060800    -0.096700
11.790000    1.156600    0.066900    -0.097100
12.790000    1.173100    0.075700    -0.095700
13.800000    1.185100    0.082800    -0.094100
14.800000    1.198500    0.088300    -0.091300
15.800000    1.201800    0.098000    -0.091700
16.800000    1.188900    0.109600    -0.092200
17.800000    1.183400    0.129400    -0.097500
18.790000    1.168700    0.147300    -0.103100
19.790000    1.178200    0.164100    -0.107700
20.790000    1.187700    0.181100    -0.111400
21.790000    1.209400    0.201600    -0.119200
22.790000    1.220500    0.222800    -0.126700
23.790000    1.219600    0.245900    -0.134500
24.290000    1.218900    0.259600    -0.139300
24.790000    1.211600    0.272900    -0.143600
25.260000    0.868300    0.471300    -0.196300
25.760000    0.896900    0.492600    -0.203400
26.000000    0.883800    0.482300    -0.166600
28.000000    0.959400    0.560800    -0.186400
30.000000    1.019300    0.637700    -0.205000
32.000000    1.065500    0.712700    -0.222600
34.000000    1.099800    0.785800    -0.239100
36.000000    1.123700    0.857000    -0.254700
38.000000    1.138500    0.926300    -0.269400
40.000000    1.145200    0.993600    -0.283400
42.000000    1.144900    1.059000    -0.296600
44.000000    1.138100    1.122500    -0.308600
45.000000    1.132600    1.153600    -0.314200
46.000000    1.125700    1.184100    -0.319600
48.000000    1.108200    1.243700    -0.330400
50.000000    1.086100    1.301400    -0.340800
52.000000    1.059700    1.356900    -0.351200
54.000000    1.029400    1.410400    -0.361300
56.000000    0.995700    1.461700    -0.371400
58.000000    0.958700    1.510700    -0.381400
60.000000    0.918800    1.557300    -0.391200
62.000000    0.876100    1.601400    -0.401000
64.000000    0.831000    1.643000    -0.410600
66.000000    0.783600    1.681900    -0.420200
68.000000    0.734100    1.718000    -0.429500
70.000000    0.682800    1.751300    -0.438600
72.000000    0.629900    1.781600    -0.447500
74.000000    0.575500    1.808900    -0.456200
76.000000    0.519800    1.833200    -0.464600
78.000000    0.463100    1.854300    -0.472700
80.000000    0.405300    1.872300    -0.480400
82.000000    0.346700    1.887100    -0.487900
84.000000    0.287500    1.898600    -0.494900
86.000000    0.227600    1.906900    -0.501600
88.000000    0.167200    1.912000    -0.507800
90.000000    0.106300    1.913800    -0.513700
92.000000    0.043000    1.912300    -0.519200
94.000000    -0.019000    1.907500    -0.524200
96.000000    -0.080900    1.899400    -0.528800
98.000000    -0.142400    1.888100    -0.533100
100.000000    -0.203400    1.873600    -0.536900
102.000000    -0.263500    1.856100    -0.540300
104.000000    -0.322700    1.835500    -0.543400
106.000000    -0.380800    1.812000    -0.546000
108.000000    -0.437500    1.785700    -0.548300
110.000000    -0.492700    1.756600    -0.550100
112.000000    -0.546200    1.725000    -0.551600
114.000000    -0.598000    1.690800    -0.552700
116.000000    -0.647800    1.654200    -0.553500
118.000000    -0.695400    1.615300    -0.553800
120.000000    -0.740800    1.574100    -0.553700
122.000000    -0.783800    1.530700    -0.553200
124.000000    -0.824200    1.485200    -0.552200
126.000000    -0.861700    1.437500    -0.550700
128.000000    -0.896100    1.387500    -0.548500
130.000000    -0.927100    1.335400    -0.545800
132.000000    -0.954400    1.280900    -0.542200
134.000000    -0.977400    1.223900    -0.537800
136.000000    -0.995500    1.164300    -0.532300
138.000000    -1.008200    1.101900    -0.525500
140.000000    -1.014400    1.036500    -0.517200
142.000000    -1.013100    0.967800    -0.507100
144.000000    -1.003100    0.895600    -0.494800
146.000000    -0.982700    0.819700    -0.479800
148.000000    -0.950200    0.739900    -0.461700
150.000000    -0.903100    0.656000    -0.439900
152.000000    -0.839000    0.567900    -0.413600
154.000000    -0.754800    0.475900    -0.381900
156.000000    -0.665400    0.389900    -0.341500
158.000000    -0.619400    0.336500    -0.319900
159.000000    -0.622600    0.323200    -0.317400
160.000000    -0.626800    0.309000    -0.313900
161.000000    -0.618600    0.290400    -0.308100
162.000000    -0.635400    0.280500    -0.311300
163.000000    -0.649300    0.267100    -0.311600
164.000000    -0.704800    0.261700    -0.326500
165.000000    -0.726900    0.243600    -0.335900
166.000000    -0.726800    0.216500    -0.334500
167.010000    -0.789600    0.190300    -0.366500
167.990000    -0.868300    0.161600    -0.411200
169.000000    -0.928900    0.131300    -0.449200
170.000000    -0.951200    0.109100    -0.460400
170.990000    -0.937200    0.092900    -0.447700
172.000000    -0.899200    0.079600    -0.420200
173.000000    -0.844600    0.068200    -0.383400
174.000000    -0.772600    0.058200    -0.338500
175.000000    -0.687300    0.049700    -0.288800
176.000000    -0.589700    0.043200    -0.236400
177.000000    -0.481000    0.037900    -0.182900
177.500000    -0.426600    0.036000    -0.156800
178.000000    -0.374000    0.033700    -0.132100
178.500000    -0.319800    0.031300    -0.107500
178.750000    -0.301100    0.030500    -0.097300
179.000000    -0.302200    0.029600    -0.092200
179.500000    -0.348300    0.028500    -0.090500
180.000000    -0.390500    0.026300    -0.086900
