! Aero module input file for airfoil data

Airfoil_Name  Riso A1-21
t/c            0.210000         ! thickness ratio w.r.t. chord

format 1       !  1: alfa-cl-cd-cm	; 2: alfa-cl; alfa-cd; alfa-cm

Reynolds_Nr 1600000.000000
-180.000000    -0.390500    0.026300    -0.086900
-179.750000    -0.405700    0.024300    -0.083500
-179.500000    -0.379900    0.023400    -0.070900
-178.990000    -0.328400    0.020200    -0.044200
-178.510000    -0.299700    0.020900    -0.025200
-177.990000    -0.259100    0.021700    -0.002700
-177.010000    -0.171900    0.023500    0.044500
-176.000000    -0.082800    0.026800    0.093600
-175.000000    0.006200    0.031400    0.143100
-174.000000    0.097100    0.037600    0.193000
-173.000000    0.188500    0.046000    0.241600
-172.000000    0.296000    0.059300    0.292000
-170.990000    0.382200    0.077200    0.323300
-170.000000    0.473000    0.107200    0.339200
-169.490000    0.516200    0.124700    0.344200
-169.000000    0.541300    0.141700    0.344300
-168.510000    0.549200    0.154600    0.341000
-168.000000    0.555500    0.169200    0.338500
-167.500000    0.553600    0.183800    0.331400
-167.000000    0.551500    0.198100    0.327900
-166.510000    0.553800    0.213700    0.324400
-166.000000    0.541300    0.225000    0.317200
-165.000000    0.528000    0.246900    0.309500
-164.000000    0.496500    0.262100    0.301900
-163.000000    0.468000    0.275800    0.294300
-162.000000    0.437800    0.282500    0.289800
-161.000000    0.378600    0.272800    0.282600
-160.500000    0.378400    0.277500    0.283800
-160.000000    0.388000    0.285400    0.286400
-159.000000    0.424000    0.306300    0.292600
-158.000000    0.438200    0.323600    0.302200
-156.000000    0.487700    0.371300    0.324100
-154.000000    0.550500    0.432800    0.348400
-152.000000    0.614000    0.502400    0.375100
-150.000000    0.670000    0.576800    0.403900
-148.000000    0.707700    0.643600    0.424800
-146.000000    0.741600    0.713300    0.444400
-144.000000    0.768600    0.783200    0.462300
-142.000000    0.788700    0.852900    0.478600
-140.000000    0.802200    0.921900    0.493300
-138.000000    0.809400    0.989700    0.506500
-136.000000    0.810500    1.056100    0.518200
-134.000000    0.805900    1.120600    0.528400
-132.000000    0.796000    1.183100    0.537400
-130.000000    0.780900    1.243200    0.545100
-128.000000    0.761200    1.300900    0.551500
-126.000000    0.737100    1.355900    0.556800
-124.000000    0.709100    1.408100    0.561000
-122.000000    0.677300    1.457500    0.564200
-120.000000    0.642200    1.503900    0.566300
-118.000000    0.604000    1.547300    0.567500
-116.000000    0.563000    1.587700    0.567800
-114.000000    0.519500    1.625000    0.567300
-112.000000    0.473800    1.659200    0.565900
