             time[s]        azimuth[deg]        nrOfCalls[-]          u_hub[m/s]          v_hub[m/s]          w_hub[m/s]      v_tot_hub[m/s]      v_tot_ave[m/s]   AeroTorque_B1[Nm]   AeroTorque_B2[Nm]   AeroTorque_B3[Nm]       AxForce_B1[N]       AxForce_B2[N]       AxForce_B3[N]   AeroMoment_B1[Nm]   AeroMoment_B2[Nm]   AeroMoment_B3[Nm]
              0.0000              0.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82172.8569          82171.6719          82157.4585          31850.5818          31850.5887          31850.5882         805579.4380         805579.6925         805579.7114
              0.1355             10.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82213.4903          82202.9394          82205.1988          31858.2085          31858.2272          31858.2259         805673.6139         805674.1310         805674.1238
              0.2710             20.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82204.0768          82206.3309          82205.7804          31856.9213          31856.9349          31856.9343         805661.9146         805662.2928         805662.3074
              0.4065             30.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82195.7704          82211.1665          82209.9914          31856.6275          31856.6179          31856.6255         805659.4277         805659.0322         805659.3127
              0.5420             40.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82199.9002          82208.1855          82197.6284          31856.6339          31856.6178          31856.6343         805659.1544         805658.6200         805659.1207
              0.6775             50.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82204.7905          82203.0867          82205.9927          31856.7298          31856.7188          31856.7301         805659.7071         805659.3077         805659.6679
              0.8130             60.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82210.2958          82196.0767          82211.4676          31856.8379          31856.8419          31856.8300         805660.4140         805660.5246         805660.1156
              0.9485             70.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82198.1931          82200.4664          82208.7501          31856.9304          31856.9317          31856.9137         805660.9523         805660.9817         805660.4381
              1.0840             80.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82206.4808          82205.2834          82203.5754          31857.0021          31857.0034          31856.9908         805661.2749         805661.3105         805660.9043
              1.2195             90.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82211.7928          82210.6231          82196.4004          31857.0488          31857.0581          31857.0607         805661.2456         805661.5410         805661.6461
              1.3550            100.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          82208.9051          82198.3484          82200.6173          31857.0765          31857.0945          31857.0946         805661.0727         805661.5850         805661.6099
