             Time[s]        Azimuth[deg]         Power[Watt]      Axial_Force[N]
              0.0000              0.0000      0.31750762E+06      0.95551759E+05
              0.1355             10.0000      0.31766173E+06      0.95574662E+05
              0.2710             20.0000      0.31765472E+06      0.95570790E+05
              0.4065             30.0000      0.31765567E+06      0.95569871E+05
              0.5420             40.0000      0.31764123E+06      0.95569886E+05
              0.6775             50.0000      0.31765173E+06      0.95570179E+05
              0.8130             60.0000      0.31765685E+06      0.95570510E+05
              0.9485             70.0000      0.31764341E+06      0.95570776E+05
              1.0840             80.0000      0.31765363E+06      0.95570996E+05
              1.2195             90.0000      0.31765810E+06      0.95571168E+05
              1.3550            100.0000      0.31764400E+06      0.95571266E+05
              1.4905            110.0000      0.31765362E+06      0.95571334E+05
              1.6260            120.0000      0.31765759E+06      0.95571376E+05
              1.7615            130.0000      0.31764307E+06      0.95571365E+05
              1.8970            140.0000      0.31765233E+06      0.95571343E+05
              2.0325            150.0000      0.31765602E+06      0.95571310E+05
              2.1680            160.0000      0.31764128E+06      0.95571238E+05
              2.3035            170.0000      0.31765036E+06      0.95571166E+05
              2.4390            180.0000      0.31765390E+06      0.95571092E+05
              2.5745            190.0000      0.31763905E+06      0.95570988E+05
              2.7100            200.0000      0.31764804E+06      0.95570890E+05
              2.8455            210.0000      0.31765152E+06      0.95570796E+05
              2.9810            220.0000      0.31763663E+06      0.95570675E+05
              3.1165            230.0000      0.31764559E+06      0.95570565E+05
              3.2520            240.0000      0.31764906E+06      0.95570461E+05
              3.3875            250.0000      0.31763416E+06      0.95570334E+05
              3.5230            260.0000      0.31764312E+06      0.95570219E+05
              3.6585            270.0000      0.31764659E+06      0.95570113E+05
              3.7940            280.0000      0.31763171E+06      0.95569985E+05
              3.9295            290.0000      0.31764070E+06      0.95569870E+05
              4.0650            300.0000      0.31764419E+06      0.95569766E+05
              4.2005            310.0000      0.31762934E+06      0.95569639E+05
              4.3360            320.0000      0.31763835E+06      0.95569528E+05
              4.4715            330.0000      0.31764188E+06      0.95569426E+05
              4.6070            340.0000      0.31762706E+06      0.95569304E+05
              4.7425            350.0000      0.31763610E+06      0.95569196E+05
              4.8780            360.0000      0.31763967E+06      0.95569099E+05
              5.0136             10.0000      0.31762488E+06      0.95568981E+05
              5.1491             20.0000      0.31763396E+06      0.95568879E+05
              5.2846             30.0000      0.31763756E+06      0.95568787E+05
              5.4201             40.0000      0.31762282E+06      0.95568674E+05
              5.5556             50.0000      0.31763193E+06      0.95568576E+05
              5.6911             60.0000      0.31763557E+06      0.95568489E+05
              5.8266             70.0000      0.31762086E+06      0.95568382E+05
              5.9621             80.0000      0.31763001E+06      0.95568289E+05
              6.0976             90.0000      0.31763368E+06      0.95568207E+05
              6.2331            100.0000      0.31761900E+06      0.95568105E+05
              6.3686            110.0000      0.31762819E+06      0.95568017E+05
              6.5041            120.0000      0.31763189E+06      0.95567940E+05
              6.6396            130.0000      0.31761725E+06      0.95567843E+05
              6.7751            140.0000      0.31762647E+06      0.95567760E+05
              6.9106            150.0000      0.31763020E+06      0.95567688E+05
              7.0461            160.0000      0.31761560E+06      0.95567595E+05
              7.1816            170.0000      0.31762484E+06      0.95567517E+05
              7.3171            180.0000      0.31762860E+06      0.95567449E+05
              7.4526            190.0000      0.31761403E+06      0.95567361E+05
              7.5881            200.0000      0.31762331E+06      0.95567287E+05
              7.7236            210.0000      0.31762710E+06      0.95567224E+05
              7.8591            220.0000      0.31761256E+06      0.95567140E+05
              7.9946            230.0000      0.31762186E+06      0.95567070E+05
              8.1301            240.0000      0.31762568E+06      0.95567011E+05
              8.2656            250.0000      0.31761116E+06      0.95566931E+05
              8.4011            260.0000      0.31762049E+06      0.95566866E+05
              8.5366            270.0000      0.31762433E+06      0.95566810E+05
              8.6721            280.0000      0.31760985E+06      0.95566734E+05
              8.8076            290.0000      0.31761920E+06      0.95566673E+05
              8.9431            300.0000      0.31762306E+06      0.95566621E+05
              9.0786            310.0000      0.31760860E+06      0.95566548E+05
              9.2141            320.0000      0.31761798E+06      0.95566490E+05
              9.3496            330.0000      0.31762187E+06      0.95566442E+05
              9.4851            340.0000      0.31760743E+06      0.95566373E+05
              9.6206            350.0000      0.31761683E+06      0.95566318E+05
              9.7561            360.0000      0.31762074E+06      0.95566273E+05
              9.8916             10.0000      0.31760632E+06      0.95566207E+05
             10.0271             20.0000      0.31761574E+06      0.95566155E+05
             10.1626             30.0000      0.31761967E+06      0.95566114E+05
             10.2981             40.0000      0.31760528E+06      0.95566051E+05
             10.4336             50.0000      0.31761472E+06      0.95566002E+05
             10.5691             60.0000      0.31761866E+06      0.95565963E+05
             10.7046             70.0000      0.31760429E+06      0.95565903E+05
             10.8401             80.0000      0.31761375E+06      0.95565857E+05
             10.9756             90.0000      0.31761771E+06      0.95565821E+05
             11.1111            100.0000      0.31760336E+06      0.95565764E+05
             11.2466            110.0000      0.31761283E+06      0.95565721E+05
             11.3821            120.0000      0.31761682E+06      0.95565687E+05
             11.5176            130.0000      0.31760248E+06      0.95565632E+05
             11.6531            140.0000      0.31761197E+06      0.95565592E+05
             11.7886            150.0000      0.31761597E+06      0.95565561E+05
             11.9241            160.0000      0.31760165E+06      0.95565508E+05
             12.0596            170.0000      0.31761116E+06      0.95565470E+05
             12.1951            180.0000      0.31761517E+06      0.95565441E+05
             12.3306            190.0000      0.31760087E+06      0.95565391E+05
             12.4661            200.0000      0.31761039E+06      0.95565355E+05
             12.6016            210.0000      0.31761442E+06      0.95565329E+05
             12.7371            220.0000      0.31760013E+06      0.95565281E+05
             12.8726            230.0000      0.31760966E+06      0.95565247E+05
             13.0081            240.0000      0.31761370E+06      0.95565223E+05
             13.1436            250.0000      0.31759943E+06      0.95565176E+05
             13.2791            260.0000      0.31760898E+06      0.95565145E+05
             13.4146            270.0000      0.31761303E+06      0.95565122E+05
             13.5501            280.0000      0.31759877E+06      0.95565078E+05
             13.6856            290.0000      0.31760833E+06      0.95565048E+05
             13.8211            300.0000      0.31761240E+06      0.95565027E+05
             13.9566            310.0000      0.31759815E+06      0.95564985E+05
             14.0921            320.0000      0.31760772E+06      0.95564957E+05
             14.2276            330.0000      0.31761180E+06      0.95564938E+05
             14.3631            340.0000      0.31759756E+06      0.95564897E+05
             14.4986            350.0000      0.31760714E+06      0.95564871E+05
             14.6341            360.0000      0.31761123E+06      0.95564854E+05
             14.7696             10.0000      0.31759700E+06      0.95564815E+05
             14.9051             20.0000      0.31760660E+06      0.95564790E+05
             15.0407             30.0000      0.31761070E+06      0.95564774E+05
             15.1762             40.0000      0.31759648E+06      0.95564736E+05
             15.3117             50.0000      0.31760608E+06      0.95564713E+05
             15.4472             60.0000      0.31761019E+06      0.95564699E+05
             15.5827             70.0000      0.31759599E+06      0.95564663E+05
             15.7182             80.0000      0.31760560E+06      0.95564641E+05
             15.8537             90.0000      0.31760971E+06      0.95564628E+05
             15.9892            100.0000      0.31759552E+06      0.95564593E+05
             16.1247            110.0000      0.31760514E+06      0.95564572E+05
             16.2602            120.0000      0.31760926E+06      0.95564561E+05
             16.3957            130.0000      0.31759508E+06      0.95564527E+05
             16.5312            140.0000      0.31760471E+06      0.95564508E+05
             16.6667            150.0000      0.31760884E+06      0.95564498E+05
             16.8022            160.0000      0.31759466E+06      0.95564465E+05
             16.9377            170.0000      0.31760430E+06      0.95564447E+05
             17.0732            180.0000      0.31760844E+06      0.95564438E+05
             17.2087            190.0000      0.31759427E+06      0.95564407E+05
             17.3442            200.0000      0.31760391E+06      0.95564390E+05
             17.4797            210.0000      0.31760806E+06      0.95564382E+05
             17.6152            220.0000      0.31759390E+06      0.95564351E+05
             17.7507            230.0000      0.31760355E+06      0.95564335E+05
             17.8862            240.0000      0.31760770E+06      0.95564328E+05
             18.0217            250.0000      0.31759355E+06      0.95564299E+05
             18.1572            260.0000      0.31760321E+06      0.95564284E+05
             18.2927            270.0000      0.31760737E+06      0.95564278E+05
             18.4282            280.0000      0.31759322E+06      0.95564250E+05
             18.5637            290.0000      0.31760288E+06      0.95564236E+05
             18.6992            300.0000      0.31760705E+06      0.95564231E+05
             18.8347            310.0000      0.31759291E+06      0.95564203E+05
             18.9702            320.0000      0.31760258E+06      0.95564190E+05
             19.1057            330.0000      0.31760675E+06      0.95564186E+05
             19.2412            340.0000      0.31759261E+06      0.95564160E+05
             19.3767            350.0000      0.31760229E+06      0.95564147E+05
             19.5122            360.0000      0.31760646E+06      0.95564144E+05
             19.6477             10.0000      0.31759233E+06      0.95564118E+05
             19.7832             20.0000      0.31760201E+06      0.95564107E+05
             19.9187             30.0000      0.31760619E+06      0.95564104E+05
             20.0542             40.0000      0.31759207E+06      0.95564079E+05
             20.1897             50.0000      0.31760176E+06      0.95564068E+05
             20.3252             60.0000      0.31760594E+06      0.95564066E+05
             20.4607             70.0000      0.31759182E+06      0.95564042E+05
             20.5962             80.0000      0.31760151E+06      0.95564032E+05
             20.7317             90.0000      0.31760570E+06      0.95564031E+05
             20.8672            100.0000      0.31759159E+06      0.95564007E+05
