             time[s]        azimuth[deg]        nrOfCalls[-]          u_hub[m/s]          v_hub[m/s]          w_hub[m/s]      v_tot_hub[m/s]      v_tot_ave[m/s]   AeroTorque_B1[Nm]   AeroTorque_B2[Nm]   AeroTorque_B3[Nm]       AxForce_B1[N]       AxForce_B2[N]       AxForce_B3[N]   AeroMoment_B1[Nm]   AeroMoment_B2[Nm]   AeroMoment_B3[Nm]
              0.0000              0.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          81634.7866          81633.1359          81629.3808          32375.3810          32375.3958          32375.3828         818543.6162         818543.6901         818543.6856
              0.1355             10.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          81645.8598          81642.7827          81638.5226          32377.2859          32377.3125          32377.3033         818564.4954         818565.1311         818565.1021
              0.2710             20.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          81642.1175          81644.4354          81638.5733          32376.8975          32376.9039          32376.8977         818561.7915         818561.8000         818561.7773
              0.4065             30.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          81637.9570          81643.3639          81641.6888          32376.8050          32376.8083          32376.8086         818560.9855         818560.9436         818560.9794
              0.5420             40.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          81636.8013          81644.1520          81641.0403          32376.8129          32376.8009          32376.8159         818560.9143         818560.3594         818560.9239
              0.6775             50.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          81638.3676          81641.9234          81644.2165          32376.8541          32376.8582          32376.8562         818561.2736         818561.3201         818561.2824
              0.8130             60.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          81641.9396          81638.2176          81643.6047          32376.8995          32376.8994          32376.8960         818561.5775         818561.6002         818561.5306
              0.9485             70.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          81641.3841          81637.1536          81644.4877          32376.9342          32376.9342          32376.9165         818561.7385         818561.7377         818561.1653
              1.0840             80.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          81644.5353          81638.6938          81642.2349          32376.9671          32376.9676          32376.9668         818562.0286         818562.0255         818562.0591
              1.2195             90.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          81643.8664          81642.2075          81638.4726          32376.9900          32376.9958          32376.9914         818562.1324         818562.1838         818562.1956
              1.3550            100.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          81644.6884          81641.5906          81637.3484          32376.9925          32377.0122          32377.0084         818561.6161         818562.1936         818562.1831
              1.4905            110.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          81642.3801          81644.6856          81638.8339          32377.0264          32377.0285          32377.0256         818562.3741         818562.3477         818562.3360
              1.6260            120.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          81638.5701          81643.9689          81642.3004          32377.0368          32377.0370          32377.0398         818562.3948         818562.3354         818562.3790
              1.7615            130.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          81637.4056          81644.7500          81641.6438          32377.0418          32377.0273          32377.0444         818562.2854         818561.7217         818562.2924
              1.8970            140.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          81638.8572          81642.4074          81644.7057          32377.0490          32377.0510          32377.0508         818562.3580         818562.3990         818562.3666
              2.0325            150.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          81642.2958          81638.5689          81643.9618          32377.0548          32377.0529          32377.0510         818562.3348         818562.3531         818562.2884
              2.1680            160.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          81641.6161          81637.3807          81644.7199          32377.0524          32377.0507          32377.0345         818562.1938         818562.1891         818561.6207
              2.3035            170.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          81644.6588          81638.8128          81642.3585          32377.0530          32377.0519          32377.0524         818562.2235         818562.2169         818562.2539
              2.4390            180.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          81643.8996          81642.2354          81638.5044          32377.0483          32377.0529          32377.0495         818562.1088         818562.1571         818562.1720
              2.5745            190.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          81644.6448          81641.5426          81637.3036          32377.0278          32377.0464          32377.0435         818561.4120         818561.9866         818561.9788
              2.7100            200.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          81642.2728          81644.5747          81638.7252          32377.0425          32377.0435          32377.0415         818562.0216         818561.9926         818561.9832
              2.8455            210.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          81638.4103          81643.8073          81642.1396          32377.0369          32377.0362          32377.0397         818561.9209         818561.8592         818561.9049
              2.9810            220.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          81637.2026          81644.5453          81641.4403          32377.0286          32377.0133          32377.0311         818561.7129         818561.1472         818561.7197
              3.1165            230.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          81638.6188          81642.1678          81644.4672          32377.0248          32377.0262          32377.0265         818561.7059         818561.7451         818561.7143
              3.2520            240.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          81642.0291          81638.3009          81643.6963          32377.0216          32377.0191          32377.0177         818561.6188         818561.6356         818561.5723
              3.3875            250.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          81641.3267          81637.0900          81644.4312          32377.0118          32377.0096          32376.9938         818561.4272         818561.4212         818560.8540
              3.5230            260.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          81644.3514          81638.5037          81642.0514          32377.0064          32377.0049          32377.0058         818561.4174         818561.4095         818561.4476
              3.6585            270.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          81643.5793          81641.9123          81638.1830          32376.9969          32377.0010          32376.9980         818561.2725         818561.3196         818561.3353
              3.7940            280.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          81644.3130          81641.2089          81636.9711          32376.9724          32376.9907          32376.9881         818560.5527         818561.1264         818561.1194
              3.9295            290.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          81641.9328          81644.2330          81638.3843          32376.9840          32376.9848          32376.9830         818561.1459         818561.1161         818561.1074
              4.0650            300.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          81638.0642          81643.4612          81641.7929          32376.9760          32376.9751          32376.9789         818561.0341         818560.9714         818561.0180
              4.2005            310.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          81636.8525          81644.1950          81641.0899          32376.9659          32376.9504          32376.9684         818560.8194         818560.2530         818560.8261
              4.3360            320.0000                   1              6.1000              0.0000              0.0000              6.1000              6.1000          81638.2661          81641.8152          81644.1146          32376.9608          32376.9620          32376.9625         818560.8093         818560.8481         818560.8177
