             Time[s]        Azimuth[deg]         Power[Watt]      Axial_Force[N]
              0.0000              0.0000      0.31544070E+06      0.97126160E+05
              0.1355             10.0000      0.31547917E+06      0.97131902E+05
              0.2710             20.0000      0.31547654E+06      0.97130699E+05
              0.4065             30.0000      0.31547381E+06      0.97130422E+05
              0.5420             40.0000      0.31547251E+06      0.97130430E+05
              0.6775             50.0000      0.31547574E+06      0.97130568E+05
              0.8130             60.0000      0.31547478E+06      0.97130695E+05
              0.9485             70.0000      0.31547383E+06      0.97130785E+05
              1.0840             80.0000      0.31547698E+06      0.97130902E+05
              1.2195             90.0000      0.31547579E+06      0.97130977E+05
              1.3550            100.0000      0.31547461E+06      0.97131013E+05
              1.4905            110.0000      0.31547754E+06      0.97131081E+05
              1.6260            120.0000      0.31547617E+06      0.97131114E+05
              1.7615            130.0000      0.31547483E+06      0.97131114E+05
              1.8970            140.0000      0.31547763E+06      0.97131151E+05
              2.0325            150.0000      0.31547615E+06      0.97131159E+05
              2.1680            160.0000      0.31547473E+06      0.97131138E+05
              2.3035            170.0000      0.31547745E+06      0.97131157E+05
              2.4390            180.0000      0.31547591E+06      0.97131151E+05
              2.5745            190.0000      0.31547443E+06      0.97131118E+05
              2.7100            200.0000      0.31547712E+06      0.97131127E+05
              2.8455            210.0000      0.31547555E+06      0.97131113E+05
              2.9810            220.0000      0.31547404E+06      0.97131073E+05
              3.1165            230.0000      0.31547671E+06      0.97131077E+05
              3.2520            240.0000      0.31547512E+06      0.97131058E+05
              3.3875            250.0000      0.31547361E+06      0.97131015E+05
              3.5230            260.0000      0.31547626E+06      0.97131017E+05
              3.6585            270.0000      0.31547467E+06      0.97130996E+05
              3.7940            280.0000      0.31547315E+06      0.97130951E+05
              3.9295            290.0000      0.31547580E+06      0.97130952E+05
              4.0650            300.0000      0.31547421E+06      0.97130930E+05
              4.2005            310.0000      0.31547269E+06      0.97130885E+05
              4.3360            320.0000      0.31547534E+06      0.97130885E+05
              4.4715            330.0000      0.31547376E+06      0.97130863E+05
              4.6070            340.0000      0.31547224E+06      0.97130818E+05
              4.7425            350.0000      0.31547490E+06      0.97130819E+05
              4.8780            360.0000      0.31547332E+06      0.97130798E+05
              5.0136             10.0000      0.31547181E+06      0.97130754E+05
              5.1491             20.0000      0.31547447E+06      0.97130755E+05
              5.2846             30.0000      0.31547290E+06      0.97130734E+05
              5.4201             40.0000      0.31547139E+06      0.97130691E+05
              5.5556             50.0000      0.31547406E+06      0.97130693E+05
              5.6911             60.0000      0.31547249E+06      0.97130673E+05
              5.8266             70.0000      0.31547099E+06      0.97130631E+05
              5.9621             80.0000      0.31547366E+06      0.97130634E+05
              6.0976             90.0000      0.31547210E+06      0.97130615E+05
              6.2331            100.0000      0.31547061E+06      0.97130573E+05
              6.3686            110.0000      0.31547329E+06      0.97130577E+05
              6.5041            120.0000      0.31547174E+06      0.97130559E+05
              6.6396            130.0000      0.31547025E+06      0.97130518E+05
              6.7751            140.0000      0.31547293E+06      0.97130524E+05
              6.9106            150.0000      0.31547139E+06      0.97130506E+05
              7.0461            160.0000      0.31546991E+06      0.97130466E+05
              7.1816            170.0000      0.31547260E+06      0.97130472E+05
              7.3171            180.0000      0.31547106E+06      0.97130456E+05
              7.4526            190.0000      0.31546958E+06      0.97130417E+05
              7.5881            200.0000      0.31547228E+06      0.97130424E+05
              7.7236            210.0000      0.31547074E+06      0.97130409E+05
              7.8591            220.0000      0.31546927E+06      0.97130370E+05
              7.9946            230.0000      0.31547197E+06      0.97130378E+05
              8.1301            240.0000      0.31547045E+06      0.97130363E+05
              8.2656            250.0000      0.31546898E+06      0.97130326E+05
              8.4011            260.0000      0.31547169E+06      0.97130334E+05
              8.5366            270.0000      0.31547017E+06      0.97130321E+05
              8.6721            280.0000      0.31546870E+06      0.97130284E+05
              8.8076            290.0000      0.31547142E+06      0.97130293E+05
              8.9431            300.0000      0.31546990E+06      0.97130280E+05
              9.0786            310.0000      0.31546844E+06      0.97130244E+05
              9.2141            320.0000      0.31547116E+06      0.97130254E+05
              9.3496            330.0000      0.31546965E+06      0.97130242E+05
              9.4851            340.0000      0.31546819E+06      0.97130207E+05
              9.6206            350.0000      0.31547091E+06      0.97130217E+05
              9.7561            360.0000      0.31546941E+06      0.97130205E+05
              9.8916             10.0000      0.31546796E+06      0.97130171E+05
             10.0271             20.0000      0.31547068E+06      0.97130182E+05
             10.1626             30.0000      0.31546918E+06      0.97130171E+05
             10.2981             40.0000      0.31546774E+06      0.97130137E+05
             10.4336             50.0000      0.31547047E+06      0.97130149E+05
             10.5691             60.0000      0.31546897E+06      0.97130138E+05
             10.7046             70.0000      0.31546753E+06      0.97130105E+05
             10.8401             80.0000      0.31547026E+06      0.97130117E+05
             10.9756             90.0000      0.31546876E+06      0.97130108E+05
             11.1111            100.0000      0.31546733E+06      0.97130075E+05
             11.2466            110.0000      0.31547006E+06      0.97130088E+05
             11.3821            120.0000      0.31546857E+06      0.97130078E+05
             11.5176            130.0000      0.31546714E+06      0.97130046E+05
             11.6531            140.0000      0.31546988E+06      0.97130059E+05
             11.7886            150.0000      0.31546839E+06      0.97130051E+05
             11.9241            160.0000      0.31546696E+06      0.97130019E+05
             12.0596            170.0000      0.31546970E+06      0.97130033E+05
